OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,anomaly_score
99043,Double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,Unknown,Multigenic/multifactorial,3,-0.42879733090650646
423712,"Double outlet right ventricle with atrioventricular septal defect, pulmonary stenosis, heterotaxy",Unknown,Multigenic/multifactorial,3,-0.42879733090650646
334,Hereditary atrial fibrillation,"Adult, Elderly",Autosomal dominant,3,-0.4285972516454814
3318,Essential thrombocythemia,All ages,"Multigenic/multifactorial, Not applicable",3,-0.42856194434444533
688581,Midface hypoplasia-hearing impairment-elliptocytosis-nephrocalcinosis syndrome,Unknown,X-linked recessive,3,-0.4282278925064315
545,Follicular lymphoma,Adult,"Multigenic/multifactorial, Not applicable",3,-0.42817041126769206
443057,Sporadic porphyria cutanea tarda,Unknown,Multigenic/multifactorial,3,-0.42804533615118406
101685,Rare non-syndromic intellectual disability,"Childhood, Infancy","Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive",2,-0.42790166713468064
2781,Osteopetrosis and related disorders,All ages,"Autosomal dominant, Autosomal recessive, X-linked recessive",3,-0.4271944278894631
748,Mendelian susceptibility to mycobacterial diseases,All ages,"Autosomal dominant, Autosomal recessive, X-linked recessive",3,-0.4271944278894631
98627,Posterior corneal dystrophy,All ages,"Autosomal dominant, Autosomal recessive, X-linked recessive",3,-0.4271944278894631
308670,"Glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form",Unknown,Autosomal recessive,3,-0.427107613289893
308684,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form",Unknown,Autosomal recessive,3,-0.427107613289893
308712,"Glycogen storage disease due to glycogen branching enzyme deficiency, adult neuromuscular form",Unknown,Autosomal recessive,3,-0.427107613289893
308698,"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form",Unknown,Autosomal recessive,3,-0.427107613289893
308655,"Glycogen storage disease due to glycogen branching enzyme deficiency, fatal perinatal neuromuscular form",Unknown,Autosomal recessive,3,-0.427107613289893
308638,"Glycogen storage disease due to glycogen branching enzyme deficiency, non progressive hepatic form",Unknown,Autosomal recessive,3,-0.427107613289893
308621,"Glycogen storage disease due to glycogen branching enzyme deficiency, progressive hepatic form",Unknown,Autosomal recessive,3,-0.427107613289893
2966,Properdin deficiency,Unknown,X-linked recessive,3,-0.4269900239250614
852,X-linked thrombocytopenia with normal platelets,Unknown,X-linked recessive,3,-0.4269900239250614
101088,X-linked hyper-IgM syndrome,Unknown,X-linked recessive,3,-0.4269900239250614
658946,Early-onset immune dysregulation with autoimmunity due to DOCK11 partial deficiency,Unknown,X-linked recessive,3,-0.4269900239250614
675628,TLR8-related inflammation-severe neutropenia-bone marrow failure-lymphoproliferation syndrome,Unknown,X-linked recessive,3,-0.4269900239250614
91489,Isolated congenital megalocornea,Unknown,X-linked recessive,3,-0.4269900239250614
93349,X-linked spondyloepimetaphyseal dysplasia,Unknown,X-linked recessive,3,-0.4269900239250614
90389,Telangiectasia macularis eruptiva perstans,Unknown,Unknown,3,-0.42665823378615225
243,"46,XX gonadal dysgenesis","Adolescent, Adult","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",3,-0.42633854360803514
199302,Isolated cleft lip,"Infancy, Neonatal",Multigenic/multifactorial,2,-0.42626861922471054
199306,Cleft lip/palate,"Infancy, Neonatal",Multigenic/multifactorial,2,-0.42626861922471054
576232,Partial atrioventricular septal defect with ventricular hypoplasia,Unknown,Not applicable,3,-0.4259964995479189
98619,Rare isolated myopia,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
646113,Intermediate collagen VI-related muscular dystrophy,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
100032,Hypocalcified amelogenesis imperfecta,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
166084,Von Willebrand disease type 2A,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
53698,Myosin storage myopathy,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
734,Alpha delta granule deficiency,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
189466,Familial isolated hypoparathyroidism due to impaired PTH secretion,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
200421,Immunodeficiency with factor H anomaly,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
248340,Isolated delta-storage pool disease,Unknown,"Autosomal dominant, Autosomal recessive",3,-0.42591445180275905
2911,Poland syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, Not applicable",1,-0.4257296757755398
98974,Fuchs endothelial corneal dystrophy,Adult,"Autosomal dominant, Multigenic/multifactorial, Not applicable",3,-0.4254621097414378
98904,Congenital myopathy with excess of thin filaments,Unknown,Autosomal dominant,3,-0.42527374843881194
227535,Hereditary breast cancer,"Adult, Elderly","Autosomal dominant, Multigenic/multifactorial",3,-0.4247155218416932
69028,Dysostosis with brachydactyly,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1,-0.4241510878853201
98849,Systemic mastocytosis with associated hematologic neoplasm,"Adult, Elderly",Not applicable,3,-0.4230127974882172
254788,Mitochondrial DNA-related mitochondrial myopathy,Unknown,Mitochondrial inheritance,3,-0.422943449159015
324601,X-linked cleft palate and ankyloglossia,"Infancy, Neonatal","X-linked dominant, X-linked recessive",2,-0.4227594556620627
79495,X-linked congenital generalized hypertrichosis,Unknown,X-linked dominant,3,-0.4227151156237649
716903,Autosomal recessive congenital myasthenic syndrome due to defective synaptic vesicles exocytosis,Unknown,Autosomal recessive,3,-0.42261952134558395
716881,Congenital myasthenic syndrome due to a sodium channel 1.4 defect,Unknown,Autosomal recessive,3,-0.42261952134558395
664699,EBV-induced lymphoproliferative disease due to RASGRP1 deficiency,Unknown,Autosomal recessive,3,-0.42261952134558395
206653,Autosomal recessive distal myopathy,Unknown,Autosomal recessive,3,-0.42261952134558395
708129,Autosomal recessive ACTN2-related distal myopathy,Unknown,Autosomal recessive,3,-0.42261952134558395
716889,Congenital myasthenic syndromes due to defective axonal transport,Unknown,Autosomal recessive,3,-0.42261952134558395
320346,Pure or complex autosomal recessive spastic paraplegia,Unknown,Autosomal recessive,3,-0.42261952134558395
708166,Severe neurodevelopmental disorder-facial dysmorphism-cerebral-renal-cardiac anomalies syndrome,Unknown,Autosomal recessive,3,-0.42261952134558395
716893,Congenital myasthenic syndrome due to defective synthesis or recycling of acetylcholine,Unknown,Autosomal recessive,3,-0.42261952134558395
700484,Late infantile CLN8 disease,Unknown,Autosomal recessive,3,-0.42261952134558395
307804,Autosomal recessive disease with diffuse palmoplantar keratoderma as a major feature,Unknown,Autosomal recessive,3,-0.42261952134558395
308041,Autosomal recessive disease associated with punctate palmoplantar keratoderma as a major feature,Unknown,Autosomal recessive,3,-0.42261952134558395
699578,Combined immunodeficiency with low Ig due to BCL10 deficiency,Unknown,Autosomal recessive,3,-0.42261952134558395
699590,Immune dysregulation with immunodeficiency due to AIOLOS haploinsufficiency,Unknown,Autosomal recessive,3,-0.42261952134558395
716772,Congenital myasthenic syndrome with kinetic defect due to reduced ion channel conductance,Unknown,Autosomal recessive,3,-0.42261952134558395
695110,MAN2B2-CDG,Unknown,Autosomal recessive,3,-0.42261952134558395
696242,PPARG-associated congenital generalized lipodystrophy,Unknown,Autosomal recessive,3,-0.42261952134558395
100982,Autosomal recessive pure spastic paraplegia,Unknown,Autosomal recessive,3,-0.42261952134558395
689021,Asymptomatic hyperCKemia-myalgia-rhabdomyolysis syndrome,Unknown,Autosomal recessive,3,-0.42261952134558395
91024,Autosomal recessive axonal hereditary motor and sensory neuropathy,Unknown,Autosomal recessive,3,-0.42261952134558395
603699,Recessive KLHL7-related disorder,Unknown,Autosomal recessive,3,-0.42261952134558395
98356,Autosomal recessive isolated diffuse palmoplantar keratoderma,Unknown,Autosomal recessive,3,-0.42261952134558395
140477,Autosomal recessive hereditary sensory and autonomic neuropathy,Unknown,Autosomal recessive,3,-0.42261952134558395
98357,Autosomal recessive disease with focal palmoplantar keratoderma as a major feature,Unknown,Autosomal recessive,3,-0.42261952134558395
98097,Autosomal recessive cerebellar ataxia due to a DNA repair defect,Unknown,Autosomal recessive,3,-0.42261952134558395
714481,SCGN-related severe early-onset hereditary ulcerative colitis,Unknown,Autosomal recessive,3,-0.42261952134558395
140459,Autosomal recessive hereditary demyelinating motor and sensory neuropathy,Unknown,Autosomal recessive,3,-0.42261952134558395
100981,Autosomal recessive complex spastic paraplegia,Unknown,Autosomal recessive,3,-0.42261952134558395
714477,Early-onset inflammatory bowel disease-ulcerative skin lesions-immunodeficiency syndrome,Unknown,Autosomal recessive,3,-0.42261952134558395
552,MODY,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable",2,-0.4226016783058969
93276,Polyostotic fibrous dysplasia,Unknown,Unknown,3,-0.42236946118275603
146,Differentiated thyroid carcinoma,"Adolescent, Adult, Childhood",Not applicable,2,-0.4216459131435868
566396,Chronic mast cell leukemia,Unknown,Not applicable,3,-0.42157603727182746
566393,Acute mast cell leukemia,Unknown,Not applicable,3,-0.42157603727182746
1872,Cone rod dystrophy,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive",2,-0.42156357629147445
442835,Non-specific early-onset epileptic encephalopathy,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",1,-0.4213698175899857
370,Glycogen storage disease due to phosphorylase kinase deficiency,All ages,"Autosomal recessive, X-linked recessive",3,-0.4203943115672528
77240,Primary lymphedema,All ages,"Autosomal dominant, Autosomal recessive",3,-0.42006058694575743
295243,"Macrodactyly of toes, unilateral",Unknown,Autosomal dominant,3,-0.4200408115564517
295239,"Macrodactyly of fingers, unilateral",Unknown,Autosomal dominant,3,-0.4200408115564517
35981,Polymicrogyria,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked dominant",2,-0.42003627817674405
497737,Epidermolytic nevus,All ages,Unknown,3,-0.4199601302808834
418,Congenital adrenal hyperplasia,Unknown,Autosomal recessive,3,-0.41978491054811784
95409,Acute adrenal insufficiency,All ages,"Autosomal recessive, Not applicable, X-linked dominant",3,-0.41972115255297876
100070,Progressive non-fluent aphasia,Adult,"Multigenic/multifactorial, Not applicable",3,-0.41968286341135935
700,Alopecia totalis,All ages,Multigenic/multifactorial,3,-0.41936991473538726
99798,Oligodontia,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2,-0.41936162940118304
636970,Autosomal recessive myosin storage myopathy,Unknown,Autosomal recessive,3,-0.41934580016700823
238666,Isolated congenital hypogonadotropic hypogonadism,"Adolescent, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Oligogenic, Unknown, X-linked recessive",1,-0.41932742306015
176,Non-rhizomelic chondrodysplasia punctata,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive",1,-0.41922250879823125
210159,Adult hepatocellular carcinoma,"Adult, Elderly",Not applicable,3,-0.41893899127462975
101351,Familial isolated congenital asplenia,Unknown,Autosomal dominant,3,-0.4186719786142203
99886,Transient neonatal diabetes mellitus,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1,-0.4186483203302891
100069,Semantic dementia,Adult,"Multigenic/multifactorial, Not applicable",3,-0.41862144512495747
700477,Adult CLN6 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
506334,Familial steroid-resistant nephrotic syndrome with adrenal insufficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
700487,Congenital CLN10 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
700492,Late infantile CLN10 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
700497,Juvenile CLN10 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
700508,Distal muscle weakness-foot deformity-elevated sorbitol level-hereditary motor neuropathy,Unknown,Autosomal recessive,3,-0.4185552666715839
699812,Adult CLN5 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
694937,Intellectual disability-peripheral neuropathy-corpus callosum abnormalities syndrome due to nudix hydrolase 2 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
700472,Juvenile CLN6 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699780,Juvenile CLN3 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699769,Juvenile CLN2 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699761,Late infantile CLN2 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699751,Infantile CLN2 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699745,Adult CLN1 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699739,Juvenile CLN1 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699734,Late infantile CLN1 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699718,Infantile CLN1 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699807,Juvenile CLN5 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
699796,Protracted juvenile CLN3 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
