OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,anomaly_score
699702,Necrotizing myositis,Unknown,Not applicable,3,-0.4173897050910233
699068,Fontan-associated liver disease,Unknown,Not applicable,3,-0.4173897050910233
698260,Carotid web,Unknown,Not applicable,3,-0.4173897050910233
699678,Necrotizing cellulitis,Unknown,Not applicable,3,-0.4173897050910233
715345,Isolated geographic pattern capillary malformation,Unknown,Not applicable,3,-0.4173897050910233
698036,Fibromuscular dysplasia of the cervical and intracranial arteries,Unknown,Not applicable,3,-0.4173897050910233
698069,Fibromuscular dysplasia of the arteries of the extremities,Unknown,Not applicable,3,-0.4173897050910233
698063,Fibromuscular dysplasia of the visceral arteries,Unknown,Not applicable,3,-0.4173897050910233
698059,Fibromuscular dysplasia of the coronary arteries,Unknown,Not applicable,3,-0.4173897050910233
698043,Fibromuscular dysplasia of the renal arteries,Unknown,Not applicable,3,-0.4173897050910233
369886,Homozygous 2p21 microdeletion syndrome,Unknown,Not applicable,3,-0.4173897050910233
715284,Spinal cord arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
695020,Urachal carcinoma,Unknown,Not applicable,3,-0.4173897050910233
715302,Spinal pial arteriovenous fistula,Unknown,Not applicable,3,-0.4173897050910233
714726,Retroperitoneal arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
700133,Idiopathic chronic pancreatitis,Unknown,Not applicable,3,-0.4173897050910233
662388,Isolated gallbladder duplication,Unknown,Not applicable,3,-0.4173897050910233
714715,Pelvic arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
662480,Isolated jejuno-ileal duplication,Unknown,Not applicable,3,-0.4173897050910233
662473,Isolated duodenal duplication,Unknown,Not applicable,3,-0.4173897050910233
715318,Acquired intracranial dural arteriovenous fistula,Unknown,Not applicable,3,-0.4173897050910233
697091,Emergomycosis,Unknown,Not applicable,3,-0.4173897050910233
714709,Mediastinal arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
715331,Paraspinal arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
697096,Cryptosporidiosis,Unknown,Not applicable,3,-0.4173897050910233
697053,Talaromycosis,Unknown,Not applicable,3,-0.4173897050910233
101334,African tick typhus,Unknown,Not applicable,3,-0.4173897050910233
662392,Isolated colonic duplication,Unknown,Not applicable,3,-0.4173897050910233
702,Pelizaeus-Merzbacher disease,All ages,"X-linked dominant, X-linked recessive",3,-0.41722396324975436
99772,Cleft velum,"Infancy, Neonatal","Multigenic/multifactorial, Not applicable",2,-0.41703193075563794
1576,Infantile bilateral striatal necrosis,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable",3,-0.4164880203156272
99067,Complete atrioventricular septal defect with ventricular hypoplasia,Unknown,Autosomal dominant,3,-0.4162459709212779
275555,Preeclampsia,Adult,Not applicable,3,-0.4160892633128987
238624,Idiopathic intracranial hypertension,"Adult, Elderly",Not applicable,3,-0.4160892633128987
54370,Primary membranoproliferative glomerulonephritis,Adult,Not applicable,3,-0.4160892633128987
36258,Buerger disease,Adult,Not applicable,3,-0.4160892633128987
319462,Inherited cancer-predisposing syndrome due to biallelic BRCA2 mutations,Unknown,Autosomal recessive,3,-0.4160542454979025
528084,Non-specific syndromic intellectual disability,"Childhood, Infancy","Autosomal dominant, Autosomal recessive, X-linked recessive",2,-0.4157609482717737
