OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,"Adolescent, Infancy, Neonatal",Autosomal recessive,1,2
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Childhood,Autosomal recessive,2,1
447,Paroxysmal nocturnal hemoglobinuria,All ages,Not applicable,3,5
166108,Birk-Barel syndrome,Infancy,Autosomal dominant,2,1
166113,Bazex syndrome,Adult,Not applicable,3,5
535,Rare cutaneous lupus erythematosus,All ages,Multigenic/multifactorial,3,10
166119,Isolated osteopoikilosis,"Adolescent, Adult, Childhood",Autosomal dominant,2,1
487,Krabbe disease,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
166260,Dentinogenesis imperfecta type 2,Childhood,Autosomal dominant,2,8
166265,Dentinogenesis imperfecta type 3,Childhood,Autosomal dominant,2,1
