disease1_code,disease1_name,disease2_code,disease2_name,n_shared_genes,shared_genes
98944,,98947,,4,"ABCB6, FZD5, PAX6, SALL2"
98944,,98945,,4,"ABCB6, FZD5, PAX6, SALL2"
98944,,98946,,4,"ABCB6, FZD5, PAX6, SALL2"
154,Familial isolated dilated cardiomyopathy,293899,"Inherited isolated arrhythmogenic ventricular dysplasia, biventricular variant",4,"DSG2, DSP, LDB3, TTN"
154,Familial isolated dilated cardiomyopathy,293888,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-left variant",4,"DSG2, DSP, LDB3, TTN"
99861,Precursor T-cell acute lymphoblastic leukemia,585909,B-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2),4,"ABL1, BCR, CDKN2A, FLT3"
171430,Severe congenital nemaline myopathy,171436,Typical nemaline myopathy,4,"ACTA1, KLHL41, LMOD3, NEB"
171433,Intermediate nemaline myopathy,171439,Childhood-onset nemaline myopathy,4,"ACTA1, KLHL41, NEB, TPM3"
171436,Typical nemaline myopathy,171439,Childhood-onset nemaline myopathy,4,"ACTA1, KLHL41, NEB, TPM2"
98994,Total early-onset cataract,441452,Early-onset lamellar cataract,4,"CRYAA, CRYGB, HSF4, MIP"
2495,Meningioma,39044,Uveal melanoma,4,"BAP1, BAP1, BAP1, BAP1"
35612,Nanophthalmos,98938,Colobomatous microphthalmia,4,"ALDH1A3, OTX2, RAX, SOX2"
