OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
140917,Stapes ankylosis with broad thumbs and toes,"Infancy, Neonatal",Autosomal dominant,2
1548,Cryptorchidism-arachnodactyly-intellectual disability syndrome,"Infancy, Neonatal",,2
1547,Cryptomicrotia-brachydactyly-excess fingertip arch syndrome,Neonatal,Autosomal dominant,3
140922,Titin-related limb-girdle muscular dystrophy R10,"Adolescent, Adult, Childhood",Autosomal recessive,2
1545,Crisponi syndrome,Neonatal,Autosomal recessive,1
140905,Hyperlipidemia due to hepatic triacylglycerol lipase deficiency,No data available,Autosomal recessive,3
1540,Jackson-Weiss syndrome,Neonatal,Autosomal dominant,3
140908,Brachydactyly type B2,Neonatal,Autosomal dominant,3
140874,Joubert syndrome and related disorders,"Infancy, Neonatal","Autosomal recessive, X-linked recessive",1
140896,Severe acute respiratory syndrome,All ages,Not applicable,3
1532,Gómez-López-Hernández syndrome,Neonatal,Not applicable,3
140952,Syndactyly-telecanthus-anogenital and renal malformations syndrome,"Infancy, Neonatal",X-linked dominant,2
140957,Autosomal dominant macrothrombocytopenia,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant,2
140944,CLOVES syndrome,"Infancy, Neonatal",Not applicable,2
140949,Low-flow priapism,All ages,Not applicable,3
1555,Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome,"Antenatal, Neonatal",Autosomal dominant,3
140936,Lelis syndrome,"Adolescent, Adult, Childhood",Autosomal recessive,2
140941,Short stature due to primary acid-labile subunit deficiency,"Infancy, Neonatal",Autosomal recessive,1
1553,Curry-Jones syndrome,Neonatal,Not applicable,3
140927,Self-limited neonatal-infantile epilepsy,"Infancy, Neonatal",Autosomal dominant,2
140933,Linear atrophoderma of Moulin,Childhood,,2
140989,Primary angiitis of the central nervous system,All ages,Not applicable,3
1566,Dandy-Walker malformation-postaxial polydactyly syndrome,"Antenatal, Neonatal",Autosomal recessive,1
140976,RHYNS syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
1563,Dahlberg-Borer-Newcomer syndrome,Childhood,"Autosomal recessive, X-linked recessive",2
140969,Saldino-Mainzer syndrome,Infancy,Autosomal recessive,2
140966,"Palmoplantar keratoderma, Nagashima type","Childhood, Infancy",Autosomal recessive,2
140963,Bilateral microtia-deafness-cleft palate syndrome,Neonatal,"Autosomal dominant, Autosomal recessive",1
382,Guanidinoacetate methyltransferase deficiency,"Childhood, Infancy",Autosomal recessive,2
742,Prolidase deficiency,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1
1979,Lipodystrophy due to peptidic growth factors deficiency,Neonatal,Unknown,3
1571,Knobloch syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
141007,Orofaciodigital syndrome type 9,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
1551,Familial benign copper deficiency,Infancy,,2
1568,X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,"Antenatal, Neonatal",X-linked recessive,3
141000,Orofaciodigital syndrome type 11,Neonatal,Not applicable,3
1497,X-linked complicated corpus callosum dysgenesis,"Antenatal, Neonatal",X-linked recessive,3
140436,Familial intraosseous vascular malformation,,Autosomal recessive,3
140453,Autosomal dominant hereditary demyelinating motor and sensory neuropathy,,Autosomal dominant,3
1493,Vici syndrome,"Antenatal, Neonatal",Autosomal recessive,1
140286,Secondary hypoparathyroidism due to impaired parathormon secretion,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
1495,Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome,Neonatal,Autosomal recessive,1
140468,Autosomal recessive distal hereditary motor neuropathy,,Autosomal recessive,3
1509,Coxopodopatellar syndrome,"Infancy, Neonatal",Autosomal dominant,2
1512,Crane-Heise syndrome,"Antenatal, Neonatal",Autosomal recessive,1
140474,Autosomal dominant hereditary sensory and autonomic neuropathy,,Autosomal dominant,3
140477,Autosomal recessive hereditary sensory and autonomic neuropathy,,Autosomal recessive,3
1506,Thin ribs-tubular bones-dysmorphism syndrome,Neonatal,,3
140456,Autosomal dominant hereditary axonal motor and sensory neuropathy,,Autosomal dominant,3
140459,Autosomal recessive hereditary demyelinating motor and sensory neuropathy,,Autosomal recessive,3
1508,Coxoauricular syndrome,Neonatal,Unknown,3
140465,Autosomal dominant distal hereditary motor neuropathy,,Autosomal dominant,3
1507,Autosomal recessive Robinow syndrome,"Infancy, Neonatal",Autosomal recessive,1
1517,Cantú syndrome,Neonatal,"Autosomal dominant, Not applicable",3
1519,SPECC1L-related hypertelorism syndrome,Neonatal,Autosomal dominant,3
1520,Craniofrontonasal dysplasia,"Antenatal, Neonatal",X-linked dominant,3
1513,Craniodiaphyseal dysplasia,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable",2
1514,Craniodigital-intellectual disability syndrome,Neonatal,"Autosomal recessive, X-linked recessive",1
140481,Autosomal dominant slowed nerve conduction velocity,Adult,Autosomal dominant,3
1515,Cranioectodermal dysplasia,"Antenatal, Neonatal",Autosomal recessive,1
1516,Non-syndromic bilambdoid and sagittal craniosynostosis,Neonatal,Autosomal recessive,1
1527,"Craniosynostosis, Philadelphia type",Neonatal,Autosomal dominant,3
1528,Craniotelencephalic dysplasia,Neonatal,,3
1529,Craniofacial-deafness-hand syndrome,Neonatal,Autosomal dominant,3
1521,Craniofrontonasal dysplasia-Poland anomaly syndrome,Neonatal,Unknown,3
1522,Craniometaphyseal dysplasia,Childhood,"Autosomal dominant, Autosomal recessive",2
1525,Cranio-osteoarthropathy,Childhood,Autosomal recessive,2
1969,Facial dysmorphism-anorexia-cachexia-eye and skin anomalies syndrome,No data available,Unknown,3
1968,Flat face-microstomia-ear anomaly syndrome,Neonatal,Unknown,3
1970,Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome,Neonatal,Autosomal recessive,1
1973,Faciocardiorenal syndrome,Neonatal,Autosomal recessive,1
1972,Lethal faciocardiomelic dysplasia,Neonatal,Autosomal recessive,1
1974,Autosomal recessive faciodigitogenital syndrome,Neonatal,Autosomal recessive,1
1962,Exostoses-anetodermia-brachydactyly type E syndrome,Neonatal,Unknown,3
1964,Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,Neonatal,Autosomal dominant,3
1822,Dysplasia epiphysealis hemimelica,"Adolescent, Childhood",Autosomal dominant,2
1824,Lowry-Wood syndrome,Neonatal,Autosomal recessive,1
1952,Epiphyseal stippling-osteoclastic hyperplasia syndrome,"Antenatal, Neonatal",Autosomal recessive,1
1954,Congenital lethal erythroderma,Neonatal,Autosomal recessive,1
1955,Spinocerebellar ataxia type 34,"Adolescent, Adult, Neonatal",Autosomal dominant,3
1926,Diabetic embryopathy,"Antenatal, Neonatal",Not applicable,3
2209,Maternal phenylketonuria syndrome,"Antenatal, Neonatal",Autosomal recessive,1
1927,Emery-Nelson syndrome,"Infancy, Neonatal",,2
1937,Eng-Strom syndrome,Antenatal,Autosomal dominant,3
1920,Toluene embryopathy,"Antenatal, Neonatal",Not applicable,3
1919,Phenobarbital embryopathy,"Antenatal, Neonatal",Not applicable,3
1917,Fetal methylmercury syndrome,"Antenatal, Neonatal",Not applicable,3
1923,Methimazole embryofetopathy,"Antenatal, Neonatal",Not applicable,3
1912,Fetal hydantoin syndrome,"Antenatal, Neonatal",Not applicable,3
1918,Fetal minoxidil syndrome,"Antenatal, Neonatal",Not applicable,3
1911,Cocaine embryofetopathy,"Antenatal, Neonatal",Not applicable,3
1910,Fetal iodine syndrome,"Antenatal, Neonatal",Not applicable,3
1916,Diethylstilbestrol syndrome,All ages,Not applicable,3
294,Fetal cytomegalovirus syndrome,"Antenatal, Neonatal",Not applicable,3
1914,Vitamin K antagonist embryofetopathy,"Antenatal, Neonatal",Not applicable,3
1913,Fetal trimethadione syndrome,"Antenatal, Neonatal",Not applicable,3
1896,EEC syndrome,"Antenatal, Neonatal",Autosomal dominant,3
1897,EEM syndrome,Neonatal,Autosomal recessive,1
1908,Aminopterin/methotrexate embryofetopathy,"Antenatal, Neonatal",Not applicable,3
1909,Indomethacin embryofetopathy,"Antenatal, Neonatal",Not applicable,3
1906,Fetal valproate spectrum disorder,"Antenatal, Childhood, Infancy, Neonatal",Not applicable,2
1895,Edinburgh malformation syndrome,Neonatal,Unknown,3
1891,Intellectual disability-spasticity-ectrodactyly syndrome,"Infancy, Neonatal",,2
1892,Ectrodactyly-polydactyly syndrome,Antenatal,,3
1816,Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome,Neonatal,Autosomal recessive,1
1807,Focal facial dermal dysplasia type III,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
1818,"Ectodermal dysplasia, trichoodontoonychial type","Antenatal, Infancy, Neonatal",,2
1883,Ectodermal dysplasia-sensorineural deafness syndrome,"Childhood, Infancy",Autosomal recessive,2
1882,Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,Childhood,Autosomal recessive,2
1875,Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,Neonatal,Autosomal recessive,1
1873,Jalili syndrome,Childhood,Autosomal recessive,2
1879,Melorheostosis with osteopoikilosis,All ages,Autosomal dominant,3
1867,"Hereditary bullous dystrophy, macular type",Neonatal,X-linked recessive,3
1872,Cone rod dystrophy,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive",2
1871,Progressive cone dystrophy,Adult,"Autosomal dominant, Autosomal recessive",3
1860,Thanatophoric dysplasia type 1,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
1861,Thoracic dysplasia-hydrocephalus syndrome,Antenatal,,3
1865,"Dyssegmental dysplasia, Silverman-Handmaker type","Antenatal, Neonatal",Autosomal recessive,1
1858,Skeletal dysplasia-epilepsy-short stature syndrome,Neonatal,,3
254,Spondylometaphyseal dysplasia,Infancy,"Autosomal dominant, Autosomal recessive, X-linked recessive",2
1852,OBSOLETE: X-linked retinal dysplasia,Childhood,,2
1842,"Bone dysplasia, lethal Holmgren type","Antenatal, Neonatal",Autosomal recessive,1
1839,Hereditary mucoepithelial dysplasia,Childhood,Autosomal dominant,2
1837,"Metaphyseal chondrodysplasia, Rosenberg type",Adolescent,,3
1836,"Mesomelic dysplasia, Kantaputra type",Neonatal,Autosomal dominant,3
1834,Axial mesodermal dysplasia spectrum,Antenatal,,3
1830,Schimke immuno-osseous dysplasia,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
1825,Epiphyseal dysplasia-hearing loss-dysmorphism syndrome,Neonatal,,3
251,Multiple epiphyseal dysplasia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
1811,Odontomicronychial dysplasia,Childhood,Autosomal recessive,2
1812,Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome,"Antenatal, Neonatal",X-linked recessive,3
1808,"Hidrotic ectodermal dysplasia, Christianson-Fourie type","Infancy, Neonatal",Autosomal dominant,2
1809,"Hidrotic ectodermal dysplasia, Halal type","Infancy, Neonatal",Autosomal recessive,1
1806,Ectodermal dysplasia-blindness syndrome,Neonatal,Autosomal recessive,1
1802,Ghosal hematodiaphyseal dysplasia,"Infancy, Neonatal",Autosomal recessive,1
1803,Thoracomelic dysplasia,Infancy,,2
1801,Kyphomelic dysplasia,"Antenatal, Neonatal",,3
1798,Craniofacial dysostosis-diaphyseal hyperplasia syndrome,Neonatal,Autosomal dominant,3
1799,Familial developmental dysphasia,Childhood,Autosomal dominant,2
1794,Oculomaxillofacial dysostosis,Neonatal,,3
2128,Isolated hemihyperplasia,"Adolescent, Childhood, Infancy",Autosomal dominant,2
2130,Non-syndromic hemimelia,Neonatal,Not applicable,3
2136,Hennekam syndrome,Childhood,Autosomal recessive,2
2138,"46,XX ovotesticular difference of sex development","Adolescent, Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
2139,Hernández-Aguirre Negrete syndrome,Childhood,Autosomal recessive,2
2141,Diaphragmatic defect-limb deficiency-skull defect syndrome,Antenatal,Unknown,3
2143,Donnai-Barrow syndrome,"Antenatal, Neonatal",Autosomal recessive,1
2145,"Craniosynostosis, Herrmann-Opitz type",Antenatal,,3
2149,Nodular neuronal heterotopia,All ages,"Autosomal dominant, Autosomal recessive, X-linked dominant",3
2148,Lissencephaly type 1 due to doublecortin gene mutation,"Adolescent, Childhood, Infancy, Neonatal",X-linked recessive,2
158048,Hemophagocytic syndrome associated with an infection,All ages,,3
158057,Acquired hemophagocytic lymphohistiocytosis associated with malignant disease,All ages,,3
2108,Hallermann-Streiff syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown",2
158061,Macrophage activation syndrome,"Adolescent, Adult, Childhood",,2
2107,Hall-Riggs syndrome,Neonatal,Autosomal recessive,1
2110,Hallux varus-preaxial polysyndactyly syndrome,Neonatal,,3
2109,Hallermann-Streiff-like syndrome,"Antenatal, Neonatal",,3
2111,Cystic hamartoma of lung and kidney,Infancy,Unknown,2
2115,Harrod syndrome,"Infancy, Neonatal",,2
2114,"Hip dysplasia, Beukes type",Childhood,Autosomal dominant,2
2994,Short stature-craniofacial anomalies-genital hypoplasia syndrome,"Infancy, Neonatal",,2
2117,Hartsfield syndrome,Antenatal,"Autosomal dominant, Autosomal recessive",1
2119,HEC syndrome,Neonatal,Unknown,3
2123,Multifocal infantile hemangioma with extracutenous involvement,Neonatal,Not applicable,3
157997,Benign cephalic histiocytosis,Infancy,Not applicable,2
2090,GMS syndrome,Neonatal,,3
2091,Multinodular goiter-cystic kidney-polydactyly syndrome,"Antenatal, Neonatal",Autosomal dominant,3
157991,Generalized eruptive histiocytosis,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
158011,Necrobiotic xanthogranuloma,,Not applicable,3
158008,Papular xanthoma,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable,2
376,Gordon syndrome,"Antenatal, Neonatal",Autosomal dominant,3
158003,Xanthoma disseminatum,"Adolescent, Adult, Childhood",Not applicable,2
2092,Focal dermal hypoplasia,"Antenatal, Neonatal",X-linked dominant,3
158000,Juvenile xanthogranuloma,"Adolescent, Childhood, Infancy, Neonatal",Not applicable,2
2098,"Acromesomelic dysplasia, Grebe type","Antenatal, Neonatal",Autosomal recessive,1
158025,Hereditary progressive mucinous histiocytosis,Childhood,Autosomal dominant,2
158022,Progressive nodular histiocytosis,"Adolescent, Adult, Childhood",Not applicable,2
380,Greig cephalopolysyndactyly syndrome,Antenatal,Autosomal dominant,3
2095,Gorlin-Chaudhry-Moss syndrome,Neonatal,Autosomal recessive,1
158019,Indeterminate cell histiocytosis,,Not applicable,3
158014,Rosaï-Dorfman disease,"Adolescent, Adult",,3
2097,Grant syndrome,Neonatal,Unknown,3
2101,Grubben-de Cock-Borghgraef syndrome,"Antenatal, Neonatal",,3
2104,Dysmorphism-pectus carinatum-joint laxity syndrome,"Infancy, Neonatal",Unknown,2
158032,Hemophagocytic syndrome,"Adolescent, Childhood, Infancy",,2
2069,Gastrocutaneous syndrome,"Adolescent, Adult",,3
157846,Neuroferritinopathy,Adult,Autosomal dominant,3
157832,Craniorhiny,Neonatal,,3
2067,GAPO syndrome,Neonatal,Autosomal recessive,1
157835,Paroxysmal hemicrania,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
2065,Galloway-Mowat syndrome,"Childhood, Infancy, Neonatal","Autosomal recessive, X-linked recessive",1
2075,Genitopalatocardiac syndrome,"Antenatal, Neonatal",,3
157941,Huntington disease-like 1,Adult,Autosomal dominant,3
2074,Gemignani syndrome,Adult,Autosomal recessive,3
157850,Pantothenate kinase-associated neurodegeneration,All ages,Autosomal recessive,3
2072,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,Childhood,Autosomal recessive,2
157954,ANE syndrome,Adult,Autosomal recessive,3
157962,"Oculoauricular syndrome, Schorderet type","Infancy, Neonatal",Autosomal recessive,1
157946,Huntington disease-like 3,Childhood,Autosomal recessive,2
2078,Geroderma osteodysplastica,Neonatal,Autosomal recessive,1
157949,Combined immunodeficiency with granulomatosis,,Autosomal recessive,3
2077,German syndrome,Neonatal,Autosomal recessive,1
157973,Congenital muscular dystrophy due to LMNA mutation,"Infancy, Neonatal",Autosomal dominant,2
2085,Glaucoma-sleep apnea syndrome,No data available,Unknown,3
2084,Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome,All ages,Autosomal dominant,3
157965,SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome,Neonatal,Autosomal recessive,1
2083,Prominent glabella-microcephaly-hypogenitalism syndrome,"Antenatal, Neonatal",,3
1791,Frontofacionasal dysplasia,Neonatal,,3
1826,Frontometaphyseal dysplasia,Neonatal,"Autosomal dominant, X-linked dominant",3
2047,Flynn-Aird syndrome,Childhood,Autosomal dominant,2
2048,Foix-Chavany-Marie syndrome,All ages,Not applicable,3
2050,Cole-Carpenter syndrome,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable",1
2063,Splenogonadal fusion-limb defects-micrognathia syndrome,"Antenatal, Neonatal",,3
2064,Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome,Childhood,Autosomal dominant,2
250,Frontonasal dysplasia,"Antenatal, Neonatal",Not applicable,3
2057,Blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome,Neonatal,Autosomal recessive,1
2059,Fryns syndrome,"Antenatal, Neonatal",Autosomal recessive,1
2026,Gingival fibromatosis-hypertrichosis syndrome,"Infancy, Neonatal",Autosomal dominant,2
2025,Gingival fibromatosis-facial dysmorphism syndrome,Neonatal,Autosomal recessive,1
2028,Juvenile hyaline fibromatosis,Childhood,Autosomal recessive,2
2027,Gingival fibromatosis-progressive deafness syndrome,Adult,Autosomal dominant,3
2021,Fibrochondrogenesis,Neonatal,"Autosomal dominant, Autosomal recessive",1
2019,Femur-fibula-ulna complex,"Antenatal, Neonatal",Not applicable,3
2024,Hereditary gingival fibromatosis,All ages,Autosomal dominant,3
2022,Endocardial fibroelastosis,Neonatal,Unknown,3
2824,Paraplegia-intellectual disability-hyperkeratosis syndrome,Infancy,X-linked recessive,2
2045,FLOTCH syndrome,"Childhood, Infancy",,2
2044,Floating-Harbor syndrome,"Infancy, Neonatal",Autosomal dominant,2
2031,Hepatic fibrosis-renal cysts-intellectual disability syndrome,"Infancy, Neonatal",,2
2036,Scalp-ear-nipple syndrome,Neonatal,Autosomal dominant,3
158769,Plaque-form urticaria pigmentosa,,"Autosomal dominant, Unknown",3
2006,Median cleft lip/mandible,Neonatal,Not applicable,3
158766,Typical urticaria pigmentosa,,"Autosomal dominant, Unknown",3
2007,Alar cartilages hypoplasia-coloboma-telecanthus syndrome,Neonatal,Autosomal recessive,1
2003,Cleft lip/palate-deafness-sacral lipoma syndrome,"Infancy, Neonatal",Unknown,2
158687,Lethal acantholytic erosive disorder,"Antenatal, Neonatal",Autosomal recessive,1
158684,Epidermolysis bullosa simplex with pyloric atresia,Neonatal,Autosomal recessive,1
2004,Laryngotracheoesophageal cleft,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
2001,Cleft lip/palate-intestinal malrotation-cardiopathy syndrome,Neonatal,Autosomal recessive,1
158681,Epidermolysis bullosa simplex with circinate migratory erythema,"Infancy, Neonatal",Autosomal dominant,2
158676,"Localized dystrophic epidermolysis bullosa, nails only","Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
158673,"Localized dystrophic epidermolysis bullosa, acral form","Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
158668,Ectodermal dysplasia-skin fragility syndrome,"Infancy, Neonatal",Autosomal recessive,1
2016,Cleft palate-lateral synechia syndrome,"Antenatal, Neonatal",Autosomal dominant,3
2017,Sternal cleft,"Antenatal, Neonatal",Not applicable,3
2013,Cleft palate-large ears-small head syndrome,"Infancy, Neonatal",,2
2010,Cleft palate-stapes fixation-oligodontia syndrome,Neonatal,Autosomal recessive,1
158778,Isolated bone marrow mastocytosis,,"Autosomal dominant, Unknown",3
158775,Smoldering systemic mastocytosis,"Adult, Elderly","Autosomal dominant, Unknown",3
158772,Nodular urticaria pigmentosa,,"Autosomal dominant, Unknown",3
2008,Acrocardiofacial syndrome,"Antenatal, Neonatal",Autosomal recessive,1
1987,Isolated femoral agenesis/hypoplasia,"Antenatal, Neonatal",,3
1986,Gollop-Wolfgang complex,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
1980,Bilateral striopallidodentate calcinosis,Adult,"Autosomal dominant, Autosomal recessive, Not applicable",3
1997,Blepharo-cheilo-odontic syndrome,Neonatal,Autosomal dominant,3
1995,OBSOLETE: Cleft lip-retinopathy syndrome,Antenatal,,3
1993,Pai syndrome,"Antenatal, Neonatal",Unknown,3
1988,Femoral-facial syndrome,"Antenatal, Neonatal",Not applicable,3
2348,"Familial partial lipodystrophy, Dunnigan type","Adolescent, Adult, Childhood, Elderly",Autosomal dominant,2
247775,Mayer-Rokitansky-Küster-Hauser syndrome type 1,"Adolescent, Antenatal","Autosomal dominant, Not applicable",3
247768,Müllerian aplasia and hyperandrogenism,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
2351,Kousseff syndrome,"Antenatal, Infancy, Neonatal",,2
2353,Schilbach-Rott syndrome,"Infancy, Neonatal",Autosomal dominant,2
247790,FTH1-related iron overload,No data available,Autosomal dominant,3
247798,MUTYH-related polyposis,Adult,"Autosomal dominant, Autosomal recessive",3
247794,Juvenile cataract-microcornea-renal glucosuria syndrome,Childhood,Autosomal dominant,2
247815,Autosomal recessive ataxia due to PEX10 deficiency,"Adolescent, Childhood",Autosomal recessive,2
2363,Lacrimoauriculodentodigital syndrome,"Antenatal, Neonatal",Autosomal dominant,3
247691,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations,"Adult, Elderly",Autosomal dominant,3
2340,Keratosis follicularis spinulosa decalvans,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2
247685,Odontohypophosphatasia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
247709,Multiple endocrine neoplasia type 2B,Childhood,Autosomal dominant,2
2342,Haim-Munk syndrome,"Childhood, Infancy",Autosomal recessive,2
247698,Multiple endocrine neoplasia type 2A,Childhood,Autosomal dominant,2
247724,Idiopathic eosinophilic myositis,,Not applicable,3
247718,Inflammatory myopathy with abundant macrophages,,Not applicable,3
247765,X-linked cerebellar ataxia,,"X-linked dominant, X-linked recessive",3
485,Kniest dysplasia,"Antenatal, Infancy, Neonatal",Autosomal dominant,2
247762,Lipoblastoma,Childhood,Not applicable,2
2347,Lethal Kniest-like dysplasia,Neonatal,Autosomal recessive,1
247585,Citrullinemia type II,Adult,Autosomal recessive,3
2333,Kenny-Caffey syndrome,Childhood,"Autosomal dominant, Autosomal recessive",2
247598,Neonatal intrahepatic cholestasis due to citrin deficiency,"Infancy, Neonatal",Autosomal recessive,1
2332,KBG syndrome,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant,2
247604,Juvenile primary lateral sclerosis,Childhood,Autosomal recessive,2
247623,Perinatal lethal hypophosphatasia,"Antenatal, Neonatal",Autosomal recessive,1
247638,Prenatal benign hypophosphatasia,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
2338,Isolated punctate palmoplantar keratoderma,,Autosomal dominant,3
2337,"Diffuse palmoplantar keratoderma, Bothnian type","Childhood, Infancy",Autosomal dominant,2
247651,Infantile hypophosphatasia,"Infancy, Neonatal",Autosomal recessive,1
247667,Childhood-onset hypophosphatasia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
2339,Keratosis follicularis-dwarfism-cerebral atrophy syndrome,"Infancy, Neonatal",X-linked recessive,2
247676,Adult hypophosphatasia,Adult,"Autosomal dominant, Autosomal recessive",3
494,Keratoderma hereditarium mutilans,"Childhood, Infancy",Autosomal dominant,2
2322,Kabuki syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2
247378,Autosomal recessive secondary polycythemia not associated with VHL gene,"Infancy, Neonatal",Autosomal recessive,1
2321,Jung syndrome,"Infancy, Neonatal",,2
2324,Osteopenia-intellectual disability-sparse hair syndrome,"Infancy, Neonatal",Autosomal recessive,1
247511,Autosomal dominant secondary polycythemia,"Infancy, Neonatal",Autosomal dominant,2
2323,Sanjad-Sakati syndrome,"Infancy, Neonatal",Autosomal recessive,1
247522,Primary ciliary dyskinesia-retinitis pigmentosa syndrome,Childhood,X-linked recessive,2
247525,Citrullinemia type I,All ages,Autosomal recessive,3
247546,Acute neonatal citrullinemia type I,"Infancy, Neonatal",Autosomal recessive,1
2325,Epidermolysis bullosa simplex with anodontia/hypodontia,"Infancy, Neonatal",,2
247573,Late-onset citrullinemia type I,Adult,Autosomal recessive,3
2329,Karsch-Neugebauer syndrome,"Infancy, Neonatal",Autosomal dominant,2
247582,Citrin deficiency,All ages,Autosomal recessive,3
2328,Kapur-Toriello syndrome,"Infancy, Neonatal",Autosomal recessive,1
2408,Lowe-Kohn-Cohen syndrome,"Antenatal, Neonatal",,3
2409,Lowry-MacLean syndrome,"Infancy, Neonatal",Autosomal dominant,2
2405,Thickened earlobes-conductive deafness syndrome,All ages,Autosomal dominant,3
2407,Laryngo-onycho-cutaneous syndrome,"Infancy, Neonatal",Autosomal recessive,1
2412,Dislocation of the hip-dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1
2575,Cystic fibrosis-gastritis-megaloblastic anemia syndrome,Infancy,Autosomal recessive,2
248408,Familial hypodysfibrinogenemia,,Autosomal dominant,3
2410,Hypergonadotropic hypogonadism-cataract syndrome,Adolescent,Autosomal recessive,3
2399,Nasopalpebral lipoma-coloboma syndrome,Neonatal,Autosomal dominant,3
2400,Peripheral motor neuropathy-dysautonomia syndrome,Childhood,Unknown,2
2396,Encephalocraniocutaneous lipomatosis,"Antenatal, Neonatal",Not applicable,3
248340,Isolated delta-storage pool disease,,"Autosomal dominant, Autosomal recessive",3
2388,Choreoacanthocytosis,Adult,Autosomal recessive,3
248111,Juvenile Huntington disease,"Adolescent, Childhood",Autosomal dominant,2
2387,Leukonychia totalis,Neonatal,"Autosomal dominant, Autosomal recessive",1
2386,Leukoencephalopathy-palmoplantar keratoderma syndrome,Childhood,Autosomal recessive,2
248095,Primary hypertrophic osteoarthropathy,"Infancy, Neonatal",Autosomal recessive,1
2379,Early-onset parkinsonism-intellectual disability syndrome,Infancy,X-linked recessive,2
2391,Congenitally short costocoracoid ligament,"Infancy, Neonatal",Autosomal dominant,2
2390,Lichtenstein syndrome,"Infancy, Neonatal",Autosomal recessive,1
247834,Occult macular dystrophy,All ages,Autosomal dominant,3
2371,Lethal Larsen-like syndrome,Neonatal,Autosomal recessive,1
2369,Limb body wall complex,"Antenatal, Infancy, Neonatal",Not applicable,2
247820,Ectodermal dysplasia-pili torti-cutaneous syndactyly syndrome,"Infancy, Neonatal",Autosomal recessive,1
247827,Ectodermal dysplasia-hyperhidrosis-cutaneous syndactyly syndrome,"Infancy, Neonatal",Autosomal recessive,1
2378,Laurin-Sandrow syndrome,"Antenatal, Neonatal",Autosomal dominant,3
247868,NLRP12-associated hereditary periodic fever syndrome,"Infancy, Neonatal",Autosomal dominant,2
2375,Laryngeal abductor paralysis-intellectual disability syndrome,Childhood,X-linked recessive,2
2456,Familial supernumerary nipples,"Infancy, Neonatal",,2
2457,Mandibuloacral dysplasia,"Infancy, Neonatal",Autosomal recessive,1
2451,Mucocutaneous venous malformations,All ages,Autosomal dominant,3
2439,Patterson-Stevenson-Fontaine syndrome,"Antenatal, Neonatal",Autosomal dominant,3
244305,Dominant hypophosphatemia with nephrolithiasis or osteoporosis,Adult,Autosomal dominant,3
244283,Biliary atresia with splenic malformation syndrome,"Infancy, Neonatal",Multigenic/multifactorial,2
