OrphaCode,DiseaseName,connections
154,Familial isolated dilated cardiomyopathy,89
146,Differentiated thyroid carcinoma,66
791,Retinitis pigmentosa,55
251579,Giant cell glioblastoma,54
251576,Gliosarcoma,53
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,49
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,46
334,Hereditary atrial fibrillation,44
2495,Meningioma,43
1333,Familial pancreatic carcinoma,43
