OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
1923,Methimazole embryofetopathy,"Antenatal, Neonatal",Not applicable
1912,Fetal hydantoin syndrome,"Antenatal, Neonatal",Not applicable
1918,Fetal minoxidil syndrome,"Antenatal, Neonatal",Not applicable
1911,Cocaine embryofetopathy,"Antenatal, Neonatal",Not applicable
1910,Fetal iodine syndrome,"Antenatal, Neonatal",Not applicable
294,Fetal cytomegalovirus syndrome,"Antenatal, Neonatal",Not applicable
1914,Vitamin K antagonist embryofetopathy,"Antenatal, Neonatal",Not applicable
1913,Fetal trimethadione syndrome,"Antenatal, Neonatal",Not applicable
1896,EEC syndrome,"Antenatal, Neonatal",Autosomal dominant
1897,EEM syndrome,Neonatal,Autosomal recessive
1908,Aminopterin/methotrexate embryofetopathy,"Antenatal, Neonatal",Not applicable
1909,Indomethacin embryofetopathy,"Antenatal, Neonatal",Not applicable
1906,Fetal valproate spectrum disorder,"Antenatal, Childhood, Infancy, Neonatal",Not applicable
1895,Edinburgh malformation syndrome,Neonatal,Unknown
1891,Intellectual disability-spasticity-ectrodactyly syndrome,"Infancy, Neonatal",
1892,Ectrodactyly-polydactyly syndrome,Antenatal,
1816,Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome,Neonatal,Autosomal recessive
1807,Focal facial dermal dysplasia type III,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
1818,"Ectodermal dysplasia, trichoodontoonychial type","Antenatal, Infancy, Neonatal",
1883,Ectodermal dysplasia-sensorineural deafness syndrome,"Childhood, Infancy",Autosomal recessive
1882,Hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,Childhood,Autosomal recessive
1875,Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,Neonatal,Autosomal recessive
1873,Jalili syndrome,Childhood,Autosomal recessive
1867,"Hereditary bullous dystrophy, macular type",Neonatal,X-linked recessive
1872,Cone rod dystrophy,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, X-linked recessive"
1860,Thanatophoric dysplasia type 1,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
1861,Thoracic dysplasia-hydrocephalus syndrome,Antenatal,
1865,"Dyssegmental dysplasia, Silverman-Handmaker type","Antenatal, Neonatal",Autosomal recessive
1858,Skeletal dysplasia-epilepsy-short stature syndrome,Neonatal,
254,Spondylometaphyseal dysplasia,Infancy,"Autosomal dominant, Autosomal recessive, X-linked recessive"
1852,OBSOLETE: X-linked retinal dysplasia,Childhood,
1842,"Bone dysplasia, lethal Holmgren type","Antenatal, Neonatal",Autosomal recessive
1839,Hereditary mucoepithelial dysplasia,Childhood,Autosomal dominant
1836,"Mesomelic dysplasia, Kantaputra type",Neonatal,Autosomal dominant
1834,Axial mesodermal dysplasia spectrum,Antenatal,
1830,Schimke immuno-osseous dysplasia,"Antenatal, Infancy, Neonatal",Autosomal recessive
1825,Epiphyseal dysplasia-hearing loss-dysmorphism syndrome,Neonatal,
251,Multiple epiphyseal dysplasia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
1811,Odontomicronychial dysplasia,Childhood,Autosomal recessive
1812,Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome,"Antenatal, Neonatal",X-linked recessive
1808,"Hidrotic ectodermal dysplasia, Christianson-Fourie type","Infancy, Neonatal",Autosomal dominant
1809,"Hidrotic ectodermal dysplasia, Halal type","Infancy, Neonatal",Autosomal recessive
1806,Ectodermal dysplasia-blindness syndrome,Neonatal,Autosomal recessive
1802,Ghosal hematodiaphyseal dysplasia,"Infancy, Neonatal",Autosomal recessive
1803,Thoracomelic dysplasia,Infancy,
1801,Kyphomelic dysplasia,"Antenatal, Neonatal",
1798,Craniofacial dysostosis-diaphyseal hyperplasia syndrome,Neonatal,Autosomal dominant
1799,Familial developmental dysphasia,Childhood,Autosomal dominant
1794,Oculomaxillofacial dysostosis,Neonatal,
2128,Isolated hemihyperplasia,"Adolescent, Childhood, Infancy",Autosomal dominant
2130,Non-syndromic hemimelia,Neonatal,Not applicable
2136,Hennekam syndrome,Childhood,Autosomal recessive
2138,"46,XX ovotesticular difference of sex development","Adolescent, Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
2139,Hernández-Aguirre Negrete syndrome,Childhood,Autosomal recessive
2141,Diaphragmatic defect-limb deficiency-skull defect syndrome,Antenatal,Unknown
2143,Donnai-Barrow syndrome,"Antenatal, Neonatal",Autosomal recessive
2145,"Craniosynostosis, Herrmann-Opitz type",Antenatal,
2148,Lissencephaly type 1 due to doublecortin gene mutation,"Adolescent, Childhood, Infancy, Neonatal",X-linked recessive
2108,Hallermann-Streiff syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown"
158061,Macrophage activation syndrome,"Adolescent, Adult, Childhood",
2107,Hall-Riggs syndrome,Neonatal,Autosomal recessive
2110,Hallux varus-preaxial polysyndactyly syndrome,Neonatal,
2109,Hallermann-Streiff-like syndrome,"Antenatal, Neonatal",
2111,Cystic hamartoma of lung and kidney,Infancy,Unknown
2115,Harrod syndrome,"Infancy, Neonatal",
2114,"Hip dysplasia, Beukes type",Childhood,Autosomal dominant
2994,Short stature-craniofacial anomalies-genital hypoplasia syndrome,"Infancy, Neonatal",
2117,Hartsfield syndrome,Antenatal,"Autosomal dominant, Autosomal recessive"
2119,HEC syndrome,Neonatal,Unknown
2123,Multifocal infantile hemangioma with extracutenous involvement,Neonatal,Not applicable
157997,Benign cephalic histiocytosis,Infancy,Not applicable
2090,GMS syndrome,Neonatal,
2091,Multinodular goiter-cystic kidney-polydactyly syndrome,"Antenatal, Neonatal",Autosomal dominant
157991,Generalized eruptive histiocytosis,"Adolescent, Adult, Childhood, Elderly",Not applicable
158008,Papular xanthoma,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
376,Gordon syndrome,"Antenatal, Neonatal",Autosomal dominant
158003,Xanthoma disseminatum,"Adolescent, Adult, Childhood",Not applicable
2092,Focal dermal hypoplasia,"Antenatal, Neonatal",X-linked dominant
158000,Juvenile xanthogranuloma,"Adolescent, Childhood, Infancy, Neonatal",Not applicable
2098,"Acromesomelic dysplasia, Grebe type","Antenatal, Neonatal",Autosomal recessive
158025,Hereditary progressive mucinous histiocytosis,Childhood,Autosomal dominant
158022,Progressive nodular histiocytosis,"Adolescent, Adult, Childhood",Not applicable
380,Greig cephalopolysyndactyly syndrome,Antenatal,Autosomal dominant
2095,Gorlin-Chaudhry-Moss syndrome,Neonatal,Autosomal recessive
2097,Grant syndrome,Neonatal,Unknown
2101,Grubben-de Cock-Borghgraef syndrome,"Antenatal, Neonatal",
2104,Dysmorphism-pectus carinatum-joint laxity syndrome,"Infancy, Neonatal",Unknown
158032,Hemophagocytic syndrome,"Adolescent, Childhood, Infancy",
157832,Craniorhiny,Neonatal,
2067,GAPO syndrome,Neonatal,Autosomal recessive
157835,Paroxysmal hemicrania,"Adolescent, Adult, Childhood, Elderly",Not applicable
2065,Galloway-Mowat syndrome,"Childhood, Infancy, Neonatal","Autosomal recessive, X-linked recessive"
2075,Genitopalatocardiac syndrome,"Antenatal, Neonatal",
2072,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,Childhood,Autosomal recessive
157962,"Oculoauricular syndrome, Schorderet type","Infancy, Neonatal",Autosomal recessive
157946,Huntington disease-like 3,Childhood,Autosomal recessive
2078,Geroderma osteodysplastica,Neonatal,Autosomal recessive
2077,German syndrome,Neonatal,Autosomal recessive
157973,Congenital muscular dystrophy due to LMNA mutation,"Infancy, Neonatal",Autosomal dominant
157965,SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome,Neonatal,Autosomal recessive
2083,Prominent glabella-microcephaly-hypogenitalism syndrome,"Antenatal, Neonatal",
1791,Frontofacionasal dysplasia,Neonatal,
1826,Frontometaphyseal dysplasia,Neonatal,"Autosomal dominant, X-linked dominant"
2047,Flynn-Aird syndrome,Childhood,Autosomal dominant
2050,Cole-Carpenter syndrome,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
2063,Splenogonadal fusion-limb defects-micrognathia syndrome,"Antenatal, Neonatal",
2064,Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome,Childhood,Autosomal dominant
250,Frontonasal dysplasia,"Antenatal, Neonatal",Not applicable
2057,Blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome,Neonatal,Autosomal recessive
2059,Fryns syndrome,"Antenatal, Neonatal",Autosomal recessive
2026,Gingival fibromatosis-hypertrichosis syndrome,"Infancy, Neonatal",Autosomal dominant
2025,Gingival fibromatosis-facial dysmorphism syndrome,Neonatal,Autosomal recessive
2028,Juvenile hyaline fibromatosis,Childhood,Autosomal recessive
2021,Fibrochondrogenesis,Neonatal,"Autosomal dominant, Autosomal recessive"
2019,Femur-fibula-ulna complex,"Antenatal, Neonatal",Not applicable
2022,Endocardial fibroelastosis,Neonatal,Unknown
2824,Paraplegia-intellectual disability-hyperkeratosis syndrome,Infancy,X-linked recessive
2045,FLOTCH syndrome,"Childhood, Infancy",
2044,Floating-Harbor syndrome,"Infancy, Neonatal",Autosomal dominant
2031,Hepatic fibrosis-renal cysts-intellectual disability syndrome,"Infancy, Neonatal",
2036,Scalp-ear-nipple syndrome,Neonatal,Autosomal dominant
2006,Median cleft lip/mandible,Neonatal,Not applicable
2007,Alar cartilages hypoplasia-coloboma-telecanthus syndrome,Neonatal,Autosomal recessive
2003,Cleft lip/palate-deafness-sacral lipoma syndrome,"Infancy, Neonatal",Unknown
158687,Lethal acantholytic erosive disorder,"Antenatal, Neonatal",Autosomal recessive
158684,Epidermolysis bullosa simplex with pyloric atresia,Neonatal,Autosomal recessive
2004,Laryngotracheoesophageal cleft,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
2001,Cleft lip/palate-intestinal malrotation-cardiopathy syndrome,Neonatal,Autosomal recessive
158681,Epidermolysis bullosa simplex with circinate migratory erythema,"Infancy, Neonatal",Autosomal dominant
158676,"Localized dystrophic epidermolysis bullosa, nails only","Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
158673,"Localized dystrophic epidermolysis bullosa, acral form","Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
158668,Ectodermal dysplasia-skin fragility syndrome,"Infancy, Neonatal",Autosomal recessive
2016,Cleft palate-lateral synechia syndrome,"Antenatal, Neonatal",Autosomal dominant
2017,Sternal cleft,"Antenatal, Neonatal",Not applicable
2013,Cleft palate-large ears-small head syndrome,"Infancy, Neonatal",
2010,Cleft palate-stapes fixation-oligodontia syndrome,Neonatal,Autosomal recessive
2008,Acrocardiofacial syndrome,"Antenatal, Neonatal",Autosomal recessive
1987,Isolated femoral agenesis/hypoplasia,"Antenatal, Neonatal",
1986,Gollop-Wolfgang complex,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
1997,Blepharo-cheilo-odontic syndrome,Neonatal,Autosomal dominant
1995,OBSOLETE: Cleft lip-retinopathy syndrome,Antenatal,
1993,Pai syndrome,"Antenatal, Neonatal",Unknown
1988,Femoral-facial syndrome,"Antenatal, Neonatal",Not applicable
2348,"Familial partial lipodystrophy, Dunnigan type","Adolescent, Adult, Childhood, Elderly",Autosomal dominant
247775,Mayer-Rokitansky-Küster-Hauser syndrome type 1,"Adolescent, Antenatal","Autosomal dominant, Not applicable"
247768,Müllerian aplasia and hyperandrogenism,"Infancy, Neonatal","Autosomal dominant, Not applicable"
2351,Kousseff syndrome,"Antenatal, Infancy, Neonatal",
2353,Schilbach-Rott syndrome,"Infancy, Neonatal",Autosomal dominant
247794,Juvenile cataract-microcornea-renal glucosuria syndrome,Childhood,Autosomal dominant
247815,Autosomal recessive ataxia due to PEX10 deficiency,"Adolescent, Childhood",Autosomal recessive
2363,Lacrimoauriculodentodigital syndrome,"Antenatal, Neonatal",Autosomal dominant
2340,Keratosis follicularis spinulosa decalvans,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive"
247685,Odontohypophosphatasia,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive"
247709,Multiple endocrine neoplasia type 2B,Childhood,Autosomal dominant
2342,Haim-Munk syndrome,"Childhood, Infancy",Autosomal recessive
247698,Multiple endocrine neoplasia type 2A,Childhood,Autosomal dominant
485,Kniest dysplasia,"Antenatal, Infancy, Neonatal",Autosomal dominant
247762,Lipoblastoma,Childhood,Not applicable
2347,Lethal Kniest-like dysplasia,Neonatal,Autosomal recessive
2333,Kenny-Caffey syndrome,Childhood,"Autosomal dominant, Autosomal recessive"
247598,Neonatal intrahepatic cholestasis due to citrin deficiency,"Infancy, Neonatal",Autosomal recessive
2332,KBG syndrome,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant
247604,Juvenile primary lateral sclerosis,Childhood,Autosomal recessive
247623,Perinatal lethal hypophosphatasia,"Antenatal, Neonatal",Autosomal recessive
247638,Prenatal benign hypophosphatasia,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
2337,"Diffuse palmoplantar keratoderma, Bothnian type","Childhood, Infancy",Autosomal dominant
247651,Infantile hypophosphatasia,"Infancy, Neonatal",Autosomal recessive
247667,Childhood-onset hypophosphatasia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
2339,Keratosis follicularis-dwarfism-cerebral atrophy syndrome,"Infancy, Neonatal",X-linked recessive
494,Keratoderma hereditarium mutilans,"Childhood, Infancy",Autosomal dominant
2322,Kabuki syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable"
247378,Autosomal recessive secondary polycythemia not associated with VHL gene,"Infancy, Neonatal",Autosomal recessive
2321,Jung syndrome,"Infancy, Neonatal",
2324,Osteopenia-intellectual disability-sparse hair syndrome,"Infancy, Neonatal",Autosomal recessive
247511,Autosomal dominant secondary polycythemia,"Infancy, Neonatal",Autosomal dominant
2323,Sanjad-Sakati syndrome,"Infancy, Neonatal",Autosomal recessive
247522,Primary ciliary dyskinesia-retinitis pigmentosa syndrome,Childhood,X-linked recessive
247546,Acute neonatal citrullinemia type I,"Infancy, Neonatal",Autosomal recessive
2325,Epidermolysis bullosa simplex with anodontia/hypodontia,"Infancy, Neonatal",
2329,Karsch-Neugebauer syndrome,"Infancy, Neonatal",Autosomal dominant
2328,Kapur-Toriello syndrome,"Infancy, Neonatal",Autosomal recessive
2408,Lowe-Kohn-Cohen syndrome,"Antenatal, Neonatal",
2409,Lowry-MacLean syndrome,"Infancy, Neonatal",Autosomal dominant
2407,Laryngo-onycho-cutaneous syndrome,"Infancy, Neonatal",Autosomal recessive
2412,Dislocation of the hip-dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive
2575,Cystic fibrosis-gastritis-megaloblastic anemia syndrome,Infancy,Autosomal recessive
2399,Nasopalpebral lipoma-coloboma syndrome,Neonatal,Autosomal dominant
2400,Peripheral motor neuropathy-dysautonomia syndrome,Childhood,Unknown
2396,Encephalocraniocutaneous lipomatosis,"Antenatal, Neonatal",Not applicable
248111,Juvenile Huntington disease,"Adolescent, Childhood",Autosomal dominant
2387,Leukonychia totalis,Neonatal,"Autosomal dominant, Autosomal recessive"
2386,Leukoencephalopathy-palmoplantar keratoderma syndrome,Childhood,Autosomal recessive
248095,Primary hypertrophic osteoarthropathy,"Infancy, Neonatal",Autosomal recessive
2379,Early-onset parkinsonism-intellectual disability syndrome,Infancy,X-linked recessive
2391,Congenitally short costocoracoid ligament,"Infancy, Neonatal",Autosomal dominant
2390,Lichtenstein syndrome,"Infancy, Neonatal",Autosomal recessive
2371,Lethal Larsen-like syndrome,Neonatal,Autosomal recessive
2369,Limb body wall complex,"Antenatal, Infancy, Neonatal",Not applicable
247820,Ectodermal dysplasia-pili torti-cutaneous syndactyly syndrome,"Infancy, Neonatal",Autosomal recessive
247827,Ectodermal dysplasia-hyperhidrosis-cutaneous syndactyly syndrome,"Infancy, Neonatal",Autosomal recessive
2378,Laurin-Sandrow syndrome,"Antenatal, Neonatal",Autosomal dominant
247868,NLRP12-associated hereditary periodic fever syndrome,"Infancy, Neonatal",Autosomal dominant
2375,Laryngeal abductor paralysis-intellectual disability syndrome,Childhood,X-linked recessive
2456,Familial supernumerary nipples,"Infancy, Neonatal",
2457,Mandibuloacral dysplasia,"Infancy, Neonatal",Autosomal recessive
2439,Patterson-Stevenson-Fontaine syndrome,"Antenatal, Neonatal",Autosomal dominant
244283,Biliary atresia with splenic malformation syndrome,"Infancy, Neonatal",Multigenic/multifactorial
2440,Isolated split hand-split foot malformation,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
244310,RFT1-CDG,"Infancy, Neonatal",Autosomal recessive
296,Ollier disease,"Adolescent, Adult, Childhood",Not applicable
2437,Czeizel-Losonci syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
2438,Hand-foot-genital syndrome,"Antenatal, Neonatal",Autosomal dominant
243343,Dimethylglycine dehydrogenase deficiency,Childhood,Autosomal recessive
2435,Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,"Infancy, Neonatal",Unknown
2429,Macrocephaly-spastic paraplegia-dysmorphism syndrome,Childhood,Autosomal recessive
2432,Macrosomia-microphthalmia-cleft palate syndrome,"Antenatal, Neonatal",
2489,Upper limb defect-eye and ear abnormalities syndrome,"Infancy, Neonatal",
247262,Hyperphosphatasia-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive
2487,Lower limb malformation-hypospadias syndrome,Neonatal,
2483,Melkersson-Rosenthal syndrome,Childhood,
2484,Melnick-Needles syndrome,Childhood,X-linked dominant
247198,Progressive cerebello-cerebral atrophy,"Infancy, Neonatal",Autosomal recessive
2481,Neurocutaneous melanocytosis,Childhood,Not applicable
2482,Melhem-Fahl syndrome,Neonatal,
247165,Infantile mercury poisoning,Infancy,Not applicable
2477,Isolated megalencephaly,"Antenatal, Neonatal",Autosomal recessive
2479,Megalocornea-intellectual disability syndrome,"Childhood, Infancy, Neonatal",
2475,White forelock with malformations,"Infancy, Neonatal",
2476,Dysraphism-cleft lip/palate-limb reduction defects syndrome,Antenatal,
2473,McKusick-Kaufman syndrome,"Antenatal, Neonatal",Autosomal recessive
2471,McDonough syndrome,"Infancy, Neonatal",
2470,Matthew-Wood syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
561,Marshall-Smith syndrome,"Infancy, Neonatal",Autosomal dominant
2464,"Marfanoid syndrome, De Silva type","Adult, Childhood",
559,Marinesco-Sjögren syndrome,"Childhood, Infancy",Autosomal recessive
2463,Marfanoid habitus-autosomal recessive intellectual disability syndrome,"Childhood, Infancy",Autosomal recessive
2462,Shprintzen-Goldberg syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Multigenic/multifactorial, Not applicable"
2461,Marden-Walker syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
2172,Microcephaly-glomerulonephritis-marfanoid habitus syndrome,Neonatal,Autosomal recessive
251643,Myxopapillary ependymoma,"Adolescent, All ages, Childhood",Not applicable
2176,Infantile systemic hyalinosis,"Infancy, Neonatal",Autosomal recessive
251646,Anaplastic ependymoma,"Adolescent, Adult, Childhood",Not applicable
2181,Hydrocephaly-tall stature-joint laxity syndrome,Infancy,Autosomal recessive
2180,Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome,Neonatal,Unknown
2189,Hydrolethalus,"Antenatal, Neonatal",Autosomal recessive
251679,Astroblastoma,"Adolescent, Adult, Childhood, Infancy",Not applicable
312,Autosomal dominant epidermolytic ichthyosis,Neonatal,Autosomal dominant
2196,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,Childhood,Autosomal recessive
2150,Hirschsprung disease-type D brachydactyly syndrome,Neonatal,
2152,Mowat-Wilson syndrome,"Antenatal, Neonatal",Autosomal dominant
2153,Hirschsprung disease-nail hypoplasia-dysmorphism syndrome,Neonatal,Autosomal recessive
251598,Protoplasmic astrocytoma,Childhood,Not applicable
2155,Hirschsprung disease-deafness-polydactyly syndrome,Neonatal,Autosomal recessive
251595,Diffuse astrocytoma,"Adolescent, Adult, Childhood",
2158,Histidinuria-renal tubular defect syndrome,"Childhood, Infancy",
2163,Holoprosencephaly-craniosynostosis syndrome,"Antenatal, Neonatal",
2165,Holoprosencephaly-caudal dysgenesis syndrome,"Antenatal, Neonatal",
2166,Holoprosencephaly-postaxial polydactyly syndrome,"Antenatal, Neonatal",Autosomal recessive
2167,Holzgreve syndrome,"Antenatal, Neonatal",
2169,Methylcobalamin deficiency type cblE,Childhood,Autosomal recessive
2222,Hypertrichosis lanuginosa congenita,Childhood,Autosomal dominant
2220,Hypertrichosis cubiti,Childhood,Autosomal dominant
1051,Ramos-Arroyo syndrome,"Infancy, Neonatal",Autosomal dominant
251940,Desmoplastic infantile astrocytoma/ganglioglioma,"Infancy, Neonatal",Not applicable
2228,Hypodontia-dysplasia of nails syndrome,Childhood,Autosomal dominant
2224,Hypertryptophanemia,"Childhood, Infancy, Neonatal",Autosomal recessive
251937,Gangliocytoma,"Adolescent, Childhood, Infancy",
2232,Primary hypergonadotropic hypogonadism-partial alopecia syndrome,Neonatal,Autosomal recessive
2230,Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,Childhood,Autosomal dominant
2229,Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,"Infancy, Neonatal",Autosomal recessive
251992,Ganglioneuroma,"Adolescent, Childhood, Infancy",
2234,Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome,Neonatal,Unknown
251867,Classic medulloblastoma,Childhood,
2199,Epidermolytic palmoplantar keratoderma,"Infancy, Neonatal",Autosomal dominant
2200,Focal palmoplantar and gingival keratoderma,Childhood,
251858,Medulloblastoma with extensive nodularity,"Childhood, Infancy",Not applicable
495,Transgrediens et progrediens palmoplantar keratoderma,Childhood,
251855,Anaplastic/large cell medulloblastoma,"Infancy, Neonatal",
251877,Ganglioneuroblastoma,"Childhood, Infancy",Not applicable
2202,Palmoplantar keratoderma-deafness syndrome,Childhood,"Autosomal dominant, Mitochondrial inheritance"
251870,Central nervous system embryonal tumor,Childhood,Not applicable
251899,Choroid plexus carcinoma,Childhood,Autosomal dominant
2213,Hypertelorism-microtia-facial clefting syndrome,"Antenatal, Neonatal",Autosomal recessive
2211,Hypertelorism-hypospadias-polysyndactyly syndrome,Neonatal,Autosomal recessive
2218,Cervical hypertrichosis-peripheral neuropathy syndrome,Childhood,Autosomal recessive
251909,Pineoblastoma,"Adolescent, Adult, Childhood, Infancy",Not applicable
2215,Multiple pterygium-malignant hyperthermia syndrome,Neonatal,Autosomal recessive
2216,Maternal hyperthermia-induced birth defects,"Antenatal, Neonatal",
251019,2q32q33 deletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
2266,"Hypotrichosis-intellectual disability, Lopes type","Childhood, Infancy",Autosomal recessive
251028,SATB2-associated syndrome due to a chromosomal rearrangement,"Infancy, Neonatal","Not applicable, Unknown"
2269,Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive
251038,3q29 microduplication syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable"
250999,1q41q42 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
2261,"Hypospadias-intellectual disability, Goldblatt type syndrome","Infancy, Neonatal",
251004,Paternal uniparental disomy of chromosome 1 syndrome,"Infancy, Neonatal","Not applicable, Unknown"
251009,Maternal uniparental disomy of chromosome 1 syndrome,"Infancy, Neonatal","Not applicable, Unknown"
672,Pallister-Hall syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable"
251014,2q31.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
455,Superficial epidermolytic ichthyosis,"Infancy, Neonatal",Autosomal dominant
251061,7q31 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
251066,8p11.2 deletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
2272,Ichthyosis-oral and digital anomalies syndrome,"Infancy, Neonatal",Autosomal recessive
251071,8p23.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
2274,Ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
251076,8p23.1 duplication syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown"
2273,Ichthyosis follicularis-alopecia-photophobia syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable, X-linked recessive"
251043,Ring chromosome 5 syndrome,"Infancy, Neonatal","Not applicable, Unknown"
165,Neutral lipid storage disease,"Infancy, Neonatal",Autosomal recessive
139,CHILD syndrome,"Antenatal, Infancy, Neonatal",X-linked dominant
251046,6p22 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
457,Harlequin ichthyosis,Neonatal,Autosomal recessive
2271,Congenital ichthyosis-microcephalus-tetraplegia syndrome,"Infancy, Neonatal",Unknown
251056,6q25.2q25.3 microdeletion syndrome,"Infancy, Neonatal",Not applicable
2246,Cerebellar hypoplasia-tapetoretinal degeneration syndrome,Infancy,
2249,Ulna hypoplasia-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive
2239,Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
250984,Autosomal recessive Stickler syndrome,Childhood,Autosomal recessive
2256,Fibulo-ulnar hypoplasia-renal anomalies syndrome,"Antenatal, Neonatal",
2257,Primary pulmonary hypoplasia,Neonatal,
250977,AICA-ribosiduria,"Antenatal, Infancy, Neonatal",Autosomal recessive
250994,1q21.1 microduplication syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable"
250989,1q21.1 microdeletion syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable"
2250,Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown"
250923,Isolated aniridia,Neonatal,"Autosomal dominant, Not applicable"
2251,Thumb deformity-alopecia-pigmentation anomaly syndrome,"Infancy, Neonatal",
2252,Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,Neonatal,
250972,Polymicrogyria with optic nerve hypoplasia,"Infancy, Neonatal",Autosomal recessive
250932,Autosomal dominant optic atrophy and peripheral neuropathy,Childhood,Autosomal dominant
2306,Isotretinoin-like syndrome,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
251383,CK syndrome,"Infancy, Neonatal",X-linked recessive
2305,Isotretinoin syndrome,"Antenatal, Infancy, Neonatal",Not applicable
2295,Familial articular hypermobility syndrome,"Adolescent, Childhood, Infancy",Autosomal dominant
2319,Juberg-Hayward syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
251523,Hyperzincemia and hypercalprotectinemia,Childhood,Unknown
2316,Johnson neuroectodermal syndrome,Childhood,Autosomal dominant
2315,Johanson-Blizzard syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
251510,"46,XY partial gonadal dysgenesis","Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive, Y-linked"
251515,Distal arthrogryposis type 10,"Infancy, Neonatal",Autosomal dominant
2310,Absence deformity of leg-cataract syndrome,Antenatal,
251393,Localized junctional epidermolysis bullosa,"Infancy, Neonatal",Autosomal recessive
2307,IVIC syndrome,"Antenatal, Neonatal",Autosomal dominant
251290,Parietal foramina with clavicular hypoplasia,"Infancy, Neonatal",Autosomal dominant
2282,Dysmorphism-short stature-deafness-difference of sex development syndrome,"Infancy, Neonatal",Autosomal recessive
251287,Benign concentric annular macular dystrophy,Childhood,Autosomal dominant
