OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
72,Angelman syndrome,Infancy,Not applicable
307,Juvenile myoclonic epilepsy,"Adolescent, Childhood",Multigenic/multifactorial
892,Von Hippel-Lindau disease,"Adolescent, Adult, Childhood",Autosomal dominant
164736,Familial advanced sleep-phase syndrome,"Adolescent, Childhood",Autosomal dominant
138,CHARGE syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown"
100,Ataxia-telangiectasia,"Childhood, Infancy",Autosomal recessive
399,Huntington disease,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
501,Lafora disease,"Adolescent, Childhood",Autosomal recessive
870,Down syndrome,"Antenatal, Neonatal",Not applicable
512,Metachromatic leukodystrophy,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
166016,"Multiple epiphyseal dysplasia, Lowry type",Neonatal,
536,Systemic lupus erythematosus,"Adolescent, Adult, Childhood, Infancy",Not applicable
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,"Adolescent, Childhood",Autosomal dominant
534,Oculocerebrorenal syndrome of Lowe,"Antenatal, Neonatal",X-linked recessive
790,Retinoblastoma,"Antenatal, Childhood, Infancy","Autosomal dominant, Not applicable"
908,Fragile X syndrome,"Childhood, Infancy, Neonatal",X-linked dominant
3099,Rheumatic fever,Childhood,Not applicable
739,Prader-Willi syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
47,X-linked agammaglobulinemia,Childhood,X-linked recessive
580,Mucopolysaccharidosis type 2,Childhood,X-linked recessive
905,Wilson disease,"Adolescent, Adult, Childhood, Elderly",Autosomal recessive
792,X-linked retinoschisis,"Adolescent, Adult, Childhood, Infancy",X-linked recessive
827,Stargardt disease,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive"
163531,Chronic cutaneous lupus erythematosus,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
906,Wiskott-Aldrich syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive"
904,Williams syndrome,"Antenatal, Neonatal",Autosomal dominant
280,Wolf-Hirschhorn syndrome,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
162516,Isolated congenital nasal pyriform aperture stenosis,Neonatal,
15,Achondroplasia,"Antenatal, Neonatal",Autosomal dominant
783,Rubinstein-Taybi syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown"
163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive
631,Non-acquired isolated growth hormone deficiency,Neonatal,"Autosomal dominant, Autosomal recessive, X-linked recessive"
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,Neonatal,X-linked recessive
163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,"Infancy, Neonatal",Unknown
163668,"Spondyloepiphyseal dysplasia, MacDermot type","Infancy, Neonatal",Autosomal dominant
163662,"Spondyloepiphyseal dysplasia, Reardon type","Infancy, Neonatal",Autosomal dominant
394,Homocystinuria due to cystathionine beta-synthase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive
