OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,onset_score,rarity_weight,OMIM,MONDO,ICD-10,DisorderType
166272,Odontochondrodysplasia,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,184260.0,100325.0,Q78.8,Malformation syndrome
576,Mucolipidosis type II,"Antenatal, Neonatal",Autosomal recessive,1,9,7.0,252500.0,9650.0,E77.0,Disease
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Childhood,Unknown,2,6,7.0,604922.0,11501.0,Q78.8,Malformation syndrome
812,Sialidosis type 1,"Adolescent, Childhood",Autosomal recessive,2,6,7.0,256550.0,19346.0,E77.1,Disease
166282,Hereditary sick sinus syndrome,"Adult, Elderly","Autosomal dominant, Autosomal recessive",3,3,7.0,619464.0,12061.0,I49.5,Disease
578,Mucolipidosis type IV,Infancy,Autosomal recessive,2,7,6.0,252650.0,9653.0,E75.1,Disease
166286,Porokeratotic eccrine ostial and dermal duct nevus,"Infancy, Neonatal",Not applicable,2,8,7.0,,15635.0,Q82.5,Disease
577,Mucolipidosis type III,Childhood,Autosomal recessive,2,6,7.0,252605.0,,E77.0,Disease
166291,Dirofilariasis,All ages,Not applicable,3,4,7.0,,15636.0,B74.8,Disease
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Infancy,,2,7,7.0,,15641.0,G40.0,Disease
2912,Poliomyelitis,Childhood,Not applicable,2,6,7.0,,17373.0,A80.1,Disease
796,Sandhoff disease,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,7,6.0,268800.0,10006.0,E75.0,Disease
166409,Photosensitive occipital lobe epilepsy,"Adolescent, Adult, Childhood",,2,6,3.0,609573.0,15643.0,G40.5,Disease
801,Scleroderma,All ages,Not applicable,3,4,4.0,,19340.0,,Clinical group
461,Recessive X-linked ichthyosis,Neonatal,X-linked recessive,3,8,4.0,308100.0,10622.0,Q80.1,Disease
166421,Orgasm-induced epilepsy,Adult,,3,3,7.0,,15646.0,G40.5,Disease
166418,Eating reflex epilepsy,All ages,,3,4,6.0,,15645.0,G40.5,Disease
584,Mucopolysaccharidosis type 7,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,9,7.0,253220.0,9662.0,E76.2,Disease
166412,Hot water reflex epilepsy,All ages,Autosomal dominant,3,4,4.0,613340.0,13229.0,G40.5,Disease
166433,Epilepsy with reading-induced seizures,"Adolescent, Adult",,3,5,7.0,132300.0,7560.0,G40.5,Disease
881,Turner syndrome,"Antenatal, Childhood, Infancy, Neonatal","Not applicable, Unknown",2,9,4.0,,19499.0,Q96.4,Malformation syndrome
95,Friedreich ataxia,"Adolescent, Childhood",Autosomal recessive,2,6,6.0,601992.0,100339.0,G11.1,Disease
848,Beta-thalassemia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2,7,6.0,603902.0,19402.0,D56.1,Clinical group
846,Alpha-thalassemia,All ages,Autosomal recessive,3,4,5.0,604131.0,11399.0,D56.0,Clinical group
586,Cystic fibrosis,All ages,Autosomal recessive,3,4,6.0,219700.0,9061.0,E84,Disease
262,Duchenne and Becker muscular dystrophy,"Adolescent, Adult, Childhood",X-linked recessive,2,6,6.0,,,,Clinical group
261,Emery-Dreifuss muscular dystrophy,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2,6,6.0,612999.0,16830.0,G71.0,Disease
