OrphaCode,DiseaseName,GeneSymbol,GeneName,AssociationType,AssociationStatus
2026,Gingival fibromatosis-hypertrichosis syndrome,ABCA5,ATP binding cassette subfamily A member 5,Disease-causing germline mutation(s) (loss of function) in,Assessed
2028,Juvenile hyaline fibromatosis,ANTXR2,ANTXR cell adhesion molecule 2,Disease-causing germline mutation(s) in,Assessed
2021,Fibrochondrogenesis,COL11A1,collagen type XI alpha 1 chain,Disease-causing germline mutation(s) (loss of function) in,Assessed
2021,Fibrochondrogenesis,COL11A2,collagen type XI alpha 2 chain,Disease-causing germline mutation(s) in,Assessed
2024,Hereditary gingival fibromatosis,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,Disease-causing germline mutation(s) in,Assessed
2024,Hereditary gingival fibromatosis,REST,RE1 silencing transcription factor,Disease-causing germline mutation(s) in,Assessed
2044,Floating-Harbor syndrome,SRCAP,Snf2 related CREBBP activator protein,Disease-causing germline mutation(s) in,Assessed
2036,Scalp-ear-nipple syndrome,KCTD1,potassium channel tetramerization domain containing 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
158769,Plaque-form urticaria pigmentosa,KIT,"KIT proto-oncogene, receptor tyrosine kinase",Disease-causing germline mutation(s) in,Assessed
158766,Typical urticaria pigmentosa,KIT,"KIT proto-oncogene, receptor tyrosine kinase",Disease-causing germline mutation(s) in,Assessed
158687,Lethal acantholytic erosive disorder,DSP,desmoplakin,Disease-causing germline mutation(s) in,Assessed
158687,Lethal acantholytic erosive disorder,JUP,junction plakoglobin,Disease-causing germline mutation(s) in,Assessed
158684,Epidermolysis bullosa simplex with pyloric atresia,PLEC,plectin,Disease-causing germline mutation(s) in,Assessed
158684,Epidermolysis bullosa simplex with pyloric atresia,ITGB4,integrin subunit beta 4,Disease-causing germline mutation(s) in,Assessed
158681,Epidermolysis bullosa simplex with circinate migratory erythema,KRT5,keratin 5,Disease-causing germline mutation(s) in,Assessed
158676,"Localized dystrophic epidermolysis bullosa, nails only",COL7A1,collagen type VII alpha 1 chain,Disease-causing germline mutation(s) (loss of function) in,Assessed
158673,"Localized dystrophic epidermolysis bullosa, acral form",COL7A1,collagen type VII alpha 1 chain,Disease-causing germline mutation(s) (loss of function) in,Assessed
158668,Ectodermal dysplasia-skin fragility syndrome,PKP1,plakophilin 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
158778,Isolated bone marrow mastocytosis,KIT,"KIT proto-oncogene, receptor tyrosine kinase",Disease-causing somatic mutation(s) in,Assessed
158775,Smoldering systemic mastocytosis,KIT,"KIT proto-oncogene, receptor tyrosine kinase",Disease-causing somatic mutation(s) in,Assessed
158772,Nodular urticaria pigmentosa,KIT,"KIT proto-oncogene, receptor tyrosine kinase",Disease-causing germline mutation(s) in,Assessed
1986,Gollop-Wolfgang complex,BHLHA9,basic helix-loop-helix family member a9,Role in the phenotype of,Assessed
1980,Bilateral striopallidodentate calcinosis,NAA60,"N-alpha-acetyltransferase 60, NatF catalytic subunit",Disease-causing germline mutation(s) (loss of function) in,Assessed
1980,Bilateral striopallidodentate calcinosis,CMPK2,cytidine/uridine monophosphate kinase 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
1980,Bilateral striopallidodentate calcinosis,JAM2,junctional adhesion molecule 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
1980,Bilateral striopallidodentate calcinosis,MYORG,myogenesis regulating glycosidase,Disease-causing germline mutation(s) in,Assessed
1980,Bilateral striopallidodentate calcinosis,PDGFRB,platelet derived growth factor receptor beta,Disease-causing germline mutation(s) in,Assessed
1980,Bilateral striopallidodentate calcinosis,PDGFB,platelet derived growth factor subunit B,Disease-causing germline mutation(s) (loss of function) in,Assessed
1980,Bilateral striopallidodentate calcinosis,SLC20A2,solute carrier family 20 member 2,Disease-causing germline mutation(s) in,Assessed
1980,Bilateral striopallidodentate calcinosis,XPR1,xenotropic and polytropic retrovirus receptor 1,Disease-causing germline mutation(s) in,Assessed
1997,Blepharo-cheilo-odontic syndrome,CTNND1,catenin delta 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
1997,Blepharo-cheilo-odontic syndrome,CDH1,cadherin 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
2348,"Familial partial lipodystrophy, Dunnigan type",LMNA,lamin A/C,Disease-causing germline mutation(s) in,Assessed
247768,Müllerian aplasia and hyperandrogenism,WNT4,Wnt family member 4,Disease-causing germline mutation(s) (loss of function) in,Assessed
2353,Schilbach-Rott syndrome,PTCH1,patched 1,Role in the phenotype of,Assessed
247790,FTH1-related iron overload,FTH1,ferritin heavy chain 1,Disease-causing germline mutation(s) in,Assessed
247798,MUTYH-related polyposis,MUTYH,mutY DNA glycosylase,Disease-causing germline mutation(s) in,Assessed
247794,Juvenile cataract-microcornea-renal glucosuria syndrome,SLC16A12,solute carrier family 16 member 12,Disease-causing germline mutation(s) in,Assessed
247815,Autosomal recessive ataxia due to PEX10 deficiency,PEX10,peroxisomal biogenesis factor 10,Disease-causing germline mutation(s) in,Assessed
2363,Lacrimoauriculodentodigital syndrome,FGF10,fibroblast growth factor 10,Disease-causing germline mutation(s) in,Assessed
2363,Lacrimoauriculodentodigital syndrome,FGFR3,fibroblast growth factor receptor 3,Disease-causing germline mutation(s) in,Assessed
2363,Lacrimoauriculodentodigital syndrome,FGFR2,fibroblast growth factor receptor 2,Disease-causing germline mutation(s) in,Assessed
247691,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations,TREX1,three prime repair exonuclease 1,Disease-causing germline mutation(s) in,Assessed
2340,Keratosis follicularis spinulosa decalvans,MBTPS2,"membrane bound transcription factor peptidase, site 2",Disease-causing germline mutation(s) in,Assessed
2340,Keratosis follicularis spinulosa decalvans,LRP1,LDL receptor related protein 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
247685,Odontohypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",Disease-causing germline mutation(s) (loss of function) in,Assessed
247709,Multiple endocrine neoplasia type 2B,RET,ret proto-oncogene,Disease-causing germline mutation(s) in,Assessed
2342,Haim-Munk syndrome,CTSC,cathepsin C,Disease-causing germline mutation(s) in,Assessed
247698,Multiple endocrine neoplasia type 2A,RET,ret proto-oncogene,Disease-causing germline mutation(s) in,Assessed
485,Kniest dysplasia,COL2A1,collagen type II alpha 1 chain,Disease-causing germline mutation(s) in,Assessed
247585,Citrullinemia type II,SLC25A13,solute carrier family 25 member 13,Disease-causing germline mutation(s) in,Assessed
247598,Neonatal intrahepatic cholestasis due to citrin deficiency,SLC25A13,solute carrier family 25 member 13,Disease-causing germline mutation(s) in,Assessed
2332,KBG syndrome,ANKRD11,ankyrin repeat domain 11,Disease-causing germline mutation(s) in,Assessed
247604,Juvenile primary lateral sclerosis,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,Disease-causing germline mutation(s) in,Assessed
247604,Juvenile primary lateral sclerosis,ERLIN2,ER lipid raft associated 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
247623,Perinatal lethal hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",Disease-causing germline mutation(s) (loss of function) in,Assessed
247638,Prenatal benign hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",Disease-causing germline mutation(s) (loss of function) in,Assessed
2337,"Diffuse palmoplantar keratoderma, Bothnian type",AQP5,aquaporin 5,Disease-causing germline mutation(s) (gain of function) in,Assessed
247651,Infantile hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",Disease-causing germline mutation(s) (loss of function) in,Assessed
247667,Childhood-onset hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",Disease-causing germline mutation(s) (loss of function) in,Assessed
247676,Adult hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",Disease-causing germline mutation(s) (loss of function) in,Assessed
494,Keratoderma hereditarium mutilans,GJB2,gap junction protein beta 2,Disease-causing germline mutation(s) in,Assessed
2322,Kabuki syndrome,KMT2D,lysine methyltransferase 2D,Disease-causing germline mutation(s) in,Assessed
2322,Kabuki syndrome,KDM6A,lysine demethylase 6A,Disease-causing germline mutation(s) in,Assessed
247378,Autosomal recessive secondary polycythemia not associated with VHL gene,BPGM,bisphosphoglycerate mutase,Disease-causing germline mutation(s) (loss of function) in,Assessed
247511,Autosomal dominant secondary polycythemia,EPO,erythropoietin,Disease-causing germline mutation(s) (gain of function) in,Assessed
247511,Autosomal dominant secondary polycythemia,EGLN1,egl-9 family hypoxia inducible factor 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
247511,Autosomal dominant secondary polycythemia,EPAS1,endothelial PAS domain protein 1,Disease-causing germline mutation(s) (gain of function) in,Assessed
247511,Autosomal dominant secondary polycythemia,HBA1,hemoglobin subunit alpha 1,Disease-causing germline mutation(s) in,Assessed
247511,Autosomal dominant secondary polycythemia,HBA2,hemoglobin subunit alpha 2,Disease-causing germline mutation(s) in,Assessed
247511,Autosomal dominant secondary polycythemia,HBB,hemoglobin subunit beta,Disease-causing germline mutation(s) in,Assessed
2323,Sanjad-Sakati syndrome,TBCE,tubulin folding cofactor E,Disease-causing germline mutation(s) in,Assessed
247522,Primary ciliary dyskinesia-retinitis pigmentosa syndrome,RPGR,retinitis pigmentosa GTPase regulator,Disease-causing germline mutation(s) in,Assessed
247546,Acute neonatal citrullinemia type I,ASS1,argininosuccinate synthase 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
247573,Late-onset citrullinemia type I,ASS1,argininosuccinate synthase 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
2407,Laryngo-onycho-cutaneous syndrome,LAMA3,laminin subunit alpha 3,Disease-causing germline mutation(s) in,Assessed
2412,Dislocation of the hip-dysmorphism syndrome,TRIM33,tripartite motif containing 33,Disease-causing germline mutation(s) in,Assessed
248408,Familial hypodysfibrinogenemia,FGA,fibrinogen alpha chain,Disease-causing germline mutation(s) in,Assessed
248408,Familial hypodysfibrinogenemia,FGB,fibrinogen beta chain,Disease-causing germline mutation(s) in,Assessed
248408,Familial hypodysfibrinogenemia,FGG,fibrinogen gamma chain,Disease-causing germline mutation(s) in,Assessed
2396,Encephalocraniocutaneous lipomatosis,FGFR1,fibroblast growth factor receptor 1,Disease-causing somatic mutation(s) in,Assessed
248340,Isolated delta-storage pool disease,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",Disease-causing germline mutation(s) in,Assessed
2388,Choreoacanthocytosis,VPS13A,vacuolar protein sorting 13 homolog A,Disease-causing germline mutation(s) in,Assessed
248111,Juvenile Huntington disease,HTT,huntingtin,Disease-causing germline mutation(s) in,Assessed
2387,Leukonychia totalis,PLCD1,phospholipase C delta 1,Disease-causing germline mutation(s) in,Assessed
2379,Early-onset parkinsonism-intellectual disability syndrome,RAB39B,"RAB39B, member RAS oncogene family",Disease-causing germline mutation(s) (loss of function) in,Assessed
247834,Occult macular dystrophy,RP1L1,RP1 like 1,Disease-causing germline mutation(s) in,Assessed
247820,Ectodermal dysplasia-pili torti-cutaneous syndactyly syndrome,NECTIN4,nectin cell adhesion molecule 4,Disease-causing germline mutation(s) in,Assessed
2378,Laurin-Sandrow syndrome,LMBR1,limb development membrane protein 1,Disease-causing germline mutation(s) in,Assessed
247868,NLRP12-associated hereditary periodic fever syndrome,NLRP12,NLR family pyrin domain containing 12,Disease-causing germline mutation(s) in,Assessed
2451,Mucocutaneous venous malformations,TEK,TEK receptor tyrosine kinase,Disease-causing germline mutation(s) (gain of function) in,Assessed
244305,Dominant hypophosphatemia with nephrolithiasis or osteoporosis,SLC34A1,solute carrier family 34 member 1,Disease-causing germline mutation(s) in,Assessed
244305,Dominant hypophosphatemia with nephrolithiasis or osteoporosis,NHERF1,NHERF family PDZ scaffold protein 1,Disease-causing germline mutation(s) in,Assessed
2440,Isolated split hand-split foot malformation,DLX6,distal-less homeobox 6,Disease-causing germline mutation(s) in,Assessed
2440,Isolated split hand-split foot malformation,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
2440,Isolated split hand-split foot malformation,TP63,tumor protein p63,Disease-causing germline mutation(s) in,Assessed
2440,Isolated split hand-split foot malformation,WNT10B,Wnt family member 10B,Disease-causing germline mutation(s) in,Assessed
2440,Isolated split hand-split foot malformation,DLX5,distal-less homeobox 5,Disease-causing germline mutation(s) in,Assessed
2440,Isolated split hand-split foot malformation,FBXW4,F-box and WD repeat domain containing 4,Role in the phenotype of,Assessed
244310,RFT1-CDG,RFT1,RFT1 glycolipid translocator homolog,Disease-causing germline mutation(s) in,Assessed
244242,HELLP syndrome,HELLPAR,HELLP associated long non-coding RNA,Major susceptibility factor in,Assessed
296,Ollier disease,PTH1R,parathyroid hormone 1 receptor,Disease-causing germline mutation(s) (loss of function) in,Assessed
296,Ollier disease,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Disease-causing somatic mutation(s) in,Assessed
296,Ollier disease,IDH1,isocitrate dehydrogenase (NADP(+)) 1,Disease-causing somatic mutation(s) in,Assessed
244275,De novo thrombotic microangiopathy after kidney transplantation,CFI,complement factor I,Biomarker tested in,Assessed
244275,De novo thrombotic microangiopathy after kidney transplantation,CFH,complement factor H,Biomarker tested in,Assessed
2438,Hand-foot-genital syndrome,HOXA13,homeobox A13,Disease-causing germline mutation(s) in,Assessed
243343,Dimethylglycine dehydrogenase deficiency,DMGDH,dimethylglycine dehydrogenase,Disease-causing germline mutation(s) in,Assessed
243367,Acute fatty liver of pregnancy,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,Disease-causing germline mutation(s) in,Assessed
247353,Generalized pustular psoriasis,IL36RN,interleukin 36 receptor antagonist,Disease-causing germline mutation(s) (loss of function) in,Assessed
247353,Generalized pustular psoriasis,AP1S3,adaptor related protein complex 1 subunit sigma 3,Disease-causing germline mutation(s) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PIGV,phosphatidylinositol glycan anchor biosynthesis class V,Disease-causing germline mutation(s) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PIGL,phosphatidylinositol glycan anchor biosynthesis class L,Disease-causing germline mutation(s) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PIGO,phosphatidylinositol glycan anchor biosynthesis class O,Disease-causing germline mutation(s) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PGAP2,post-GPI attachment to proteins 2,Disease-causing germline mutation(s) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PGAP3,post-GPI attachment to proteins phospholipase 3,Disease-causing germline mutation(s) (loss of function) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PIGW,phosphatidylinositol glycan anchor biosynthesis class W,Disease-causing germline mutation(s) in,Assessed
247262,Hyperphosphatasia-intellectual disability syndrome,PIGY,phosphatidylinositol glycan anchor biosynthesis class Y,Disease-causing germline mutation(s) (loss of function) in,Assessed
2484,Melnick-Needles syndrome,FLNA,filamin A,Disease-causing germline mutation(s) (gain of function) in,Assessed
247198,Progressive cerebello-cerebral atrophy,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,Disease-causing germline mutation(s) in,Assessed
247198,Progressive cerebello-cerebral atrophy,VPS53,VPS53 subunit of GARP complex,Disease-causing germline mutation(s) in,Assessed
2477,Isolated megalencephaly,TBC1D7,TBC1 domain family member 7,Disease-causing germline mutation(s) (loss of function) in,Assessed
2473,McKusick-Kaufman syndrome,MKKS,MKKS centrosomal shuttling protein,Disease-causing germline mutation(s) in,Assessed
2470,Matthew-Wood syndrome,STRA6,signaling receptor and transporter of retinol STRA6,Disease-causing germline mutation(s) in,Assessed
2470,Matthew-Wood syndrome,WNT7B,Wnt family member 7B,Disease-causing germline mutation(s) in,Assessed
561,Marshall-Smith syndrome,NFIX,nuclear factor I X,Disease-causing germline mutation(s) in,Assessed
559,Marinesco-Sjögren syndrome,SIL1,SIL1 nucleotide exchange factor,Disease-causing germline mutation(s) (loss of function) in,Assessed
2462,Shprintzen-Goldberg syndrome,SKI,SKI proto-oncogene,Disease-causing germline mutation(s) in,Assessed
2461,Marden-Walker syndrome,PIEZO2,piezo type mechanosensitive ion channel component 2,Disease-causing germline mutation(s) in,Assessed
251630,Anaplastic oligodendroglioma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251630,Anaplastic oligodendroglioma,POT1,protection of telomeres 1,Major susceptibility factor in,Assessed
251636,Ependymoma,ZFTA,zinc finger translocation associated,Part of a fusion gene in,Assessed
2176,Infantile systemic hyalinosis,ANTXR2,ANTXR cell adhesion molecule 2,Disease-causing germline mutation(s) in,Assessed
251656,Oligoastrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251663,Anaplastic oligoastrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251671,Angiocentric glioma,MYB,"MYB proto-oncogene, transcription factor",Part of a fusion gene in,Assessed
251671,Angiocentric glioma,QKI,"QKI, KH domain containing RNA binding",Part of a fusion gene in,Assessed
2189,Hydrolethalus,HYLS1,HYLS1 centriolar and ciliogenesis associated,Disease-causing germline mutation(s) in,Assessed
2189,Hydrolethalus,KIF7,kinesin family member 7,Disease-causing germline mutation(s) in,Assessed
312,Autosomal dominant epidermolytic ichthyosis,KRT1,keratin 1,Disease-causing germline mutation(s) in,Assessed
312,Autosomal dominant epidermolytic ichthyosis,KRT10,keratin 10,Disease-causing germline mutation(s) in,Assessed
2196,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,CLDN19,claudin 19,Disease-causing germline mutation(s) in,Assessed
251576,Gliosarcoma,NFKBIA,NFKB inhibitor alpha,Biomarker tested in,Assessed
251576,Gliosarcoma,MGMT,O-6-methylguanine-DNA methyltransferase,Biomarker tested in,Assessed
251576,Gliosarcoma,EGFR,epidermal growth factor receptor,Part of a fusion gene in,Assessed
251576,Gliosarcoma,FGFR1,fibroblast growth factor receptor 1,Part of a fusion gene in,Assessed
251576,Gliosarcoma,FGFR3,fibroblast growth factor receptor 3,Part of a fusion gene in,Assessed
251576,Gliosarcoma,TP53,tumor protein p53,Biomarker tested in,Assessed
251576,Gliosarcoma,TACC3,transforming acidic coiled-coil containing protein 3,Part of a fusion gene in,Assessed
251576,Gliosarcoma,TACC1,transforming acidic coiled-coil containing protein 1,Part of a fusion gene in,Assessed
251576,Gliosarcoma,PPARG,peroxisome proliferator activated receptor gamma,Biomarker tested in,Assessed
251576,Gliosarcoma,LZTR1,leucine zipper like post translational regulator 1,Disease-causing somatic mutation(s) in,Assessed
251576,Gliosarcoma,SEPTIN14,septin 14,Part of a fusion gene in,Assessed
251576,Gliosarcoma,IDH1,isocitrate dehydrogenase (NADP(+)) 1,Biomarker tested in,Assessed
251579,Giant cell glioblastoma,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase",Part of a fusion gene in,Assessed
251579,Giant cell glioblastoma,PPARG,peroxisome proliferator activated receptor gamma,Biomarker tested in,Assessed
251579,Giant cell glioblastoma,NFKBIA,NFKB inhibitor alpha,Biomarker tested in,Assessed
251579,Giant cell glioblastoma,MGMT,O-6-methylguanine-DNA methyltransferase,Biomarker tested in,Assessed
251579,Giant cell glioblastoma,EGFR,epidermal growth factor receptor,Part of a fusion gene in,Assessed
251579,Giant cell glioblastoma,FGFR1,fibroblast growth factor receptor 1,Part of a fusion gene in,Assessed
251579,Giant cell glioblastoma,FGFR3,fibroblast growth factor receptor 3,Part of a fusion gene in,Assessed
251579,Giant cell glioblastoma,TP53,tumor protein p53,Biomarker tested in,Assessed
251579,Giant cell glioblastoma,TACC3,transforming acidic coiled-coil containing protein 3,Part of a fusion gene in,Assessed
251579,Giant cell glioblastoma,TACC1,transforming acidic coiled-coil containing protein 1,Part of a fusion gene in,Assessed
251579,Giant cell glioblastoma,IDH1,isocitrate dehydrogenase (NADP(+)) 1,Biomarker tested in,Assessed
251579,Giant cell glioblastoma,LZTR1,leucine zipper like post translational regulator 1,Disease-causing somatic mutation(s) in,Assessed
251579,Giant cell glioblastoma,SEPTIN14,septin 14,Part of a fusion gene in,Assessed
251589,Anaplastic astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251598,Protoplasmic astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251604,Gemistocytic astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251601,Fibrillary astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251615,Pilomyxoid astrocytoma,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",Disease-causing somatic mutation(s) in,Assessed
251615,Pilomyxoid astrocytoma,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",Part of a fusion gene in,Assessed
251615,Pilomyxoid astrocytoma,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",Part of a fusion gene in,Assessed
251615,Pilomyxoid astrocytoma,FGFR1,fibroblast growth factor receptor 1,Disease-causing somatic mutation(s) in,Assessed
251615,Pilomyxoid astrocytoma,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,Part of a fusion gene in,Assessed
251615,Pilomyxoid astrocytoma,NTRK2,neurotrophic receptor tyrosine kinase 2,Part of a fusion gene in,Assessed
251615,Pilomyxoid astrocytoma,KIAA1549,KIAA1549,Part of a fusion gene in,Assessed
251615,Pilomyxoid astrocytoma,KRAS,"KRAS proto-oncogene, GTPase",Disease-causing somatic mutation(s) in,Assessed
251627,Oligodendroglioma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,Biomarker tested in,Assessed
251627,Oligodendroglioma,POT1,protection of telomeres 1,Major susceptibility factor in,Assessed
2169,Methylcobalamin deficiency type cblE,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,Disease-causing germline mutation(s) in,Assessed
2228,Hypodontia-dysplasia of nails syndrome,MSX1,msh homeobox 1,Disease-causing germline mutation(s) in,Assessed
2224,Hypertryptophanemia,TDO2,"tryptophan 2,3-dioxygenase",Disease-causing germline mutation(s) in,Assessed
2229,Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,LMNA,lamin A/C,Disease-causing germline mutation(s) in,Assessed
2237,Hypoparathyroidism-sensorineural deafness-renal disease syndrome,GATA3,GATA binding protein 3,Disease-causing germline mutation(s) (loss of function) in,Assessed
251992,Ganglioneuroma,ALK,ALK receptor tyrosine kinase,Major susceptibility factor in,Assessed
2199,Epidermolytic palmoplantar keratoderma,KRT1,keratin 1,Disease-causing germline mutation(s) (gain of function) in,Assessed
2199,Epidermolytic palmoplantar keratoderma,KRT9,keratin 9,Disease-causing germline mutation(s) in,Assessed
2199,Epidermolytic palmoplantar keratoderma,KRT16,keratin 16,Candidate gene tested in,Assessed
251863,Desmoplastic/nodular medulloblastoma,SUFU,SUFU negative regulator of hedgehog signaling,Major susceptibility factor in,Assessed
2198,Palmoplantar keratoderma-esophageal carcinoma syndrome,RHBDF2,rhomboid 5 homolog 2,Disease-causing germline mutation(s) (gain of function) in,Assessed
251858,Medulloblastoma with extensive nodularity,SUFU,SUFU negative regulator of hedgehog signaling,Major susceptibility factor in,Assessed
251877,Ganglioneuroblastoma,ALK,ALK receptor tyrosine kinase,Major susceptibility factor in,Assessed
2202,Palmoplantar keratoderma-deafness syndrome,GJB2,gap junction protein beta 2,Disease-causing germline mutation(s) in,Assessed
2202,Palmoplantar keratoderma-deafness syndrome,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,Disease-causing germline mutation(s) in,Assessed
251899,Choroid plexus carcinoma,TP53,tumor protein p53,Disease-causing germline mutation(s) in,Assessed
251019,2q32q33 deletion syndrome,SATB2,SATB homeobox 2,Role in the phenotype of,Assessed
251028,SATB2-associated syndrome due to a chromosomal rearrangement,SATB2,SATB homeobox 2,Role in the phenotype of,Assessed
672,Pallister-Hall syndrome,GLI3,GLI family zinc finger 3,Disease-causing germline mutation(s) in,Assessed
455,Superficial epidermolytic ichthyosis,KRT2,keratin 2,Disease-causing germline mutation(s) in,Assessed
251061,7q31 microdeletion syndrome,FOXP2,forkhead box P2,Role in the phenotype of,Assessed
251066,8p11.2 deletion syndrome,ANK1,ankyrin 1,Role in the phenotype of,Assessed
251071,8p23.1 microdeletion syndrome,GATA4,GATA binding protein 4,Role in the phenotype of,Assessed
2273,Ichthyosis follicularis-alopecia-photophobia syndrome,MBTPS2,"membrane bound transcription factor peptidase, site 2",Disease-causing germline mutation(s) in,Assessed
139,CHILD syndrome,NSDHL,NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL,Disease-causing germline mutation(s) in,Assessed
457,Harlequin ichthyosis,ABCA12,ATP binding cassette subfamily A member 12,Disease-causing germline mutation(s) in,Assessed
2239,Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,GCM2,glial cells missing transcription factor 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,LMOD1,leiomodin 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,MYH11,myosin heavy chain 11,Disease-causing germline mutation(s) (loss of function) in,Assessed
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,ACTG2,"actin gamma 2, smooth muscle",Disease-causing germline mutation(s) in,Assessed
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,MYLK,myosin light chain kinase,Disease-causing germline mutation(s) (loss of function) in,Assessed
250984,Autosomal recessive Stickler syndrome,COL9A1,collagen type IX alpha 1 chain,Disease-causing germline mutation(s) in,Assessed
250984,Autosomal recessive Stickler syndrome,COL9A2,collagen type IX alpha 2 chain,Disease-causing germline mutation(s) (loss of function) in,Assessed
250984,Autosomal recessive Stickler syndrome,COL9A3,collagen type IX alpha 3 chain,Disease-causing germline mutation(s) (loss of function) in,Assessed
250984,Autosomal recessive Stickler syndrome,LOXL3,lysyl oxidase like 3,Disease-causing germline mutation(s) in,Assessed
250977,AICA-ribosiduria,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,Disease-causing germline mutation(s) in,Assessed
2250,Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,Disease-causing germline mutation(s) in,Assessed
250923,Isolated aniridia,PAX6,paired box 6,Disease-causing germline mutation(s) (loss of function) in,Assessed
250923,Isolated aniridia,TRIM44,tripartite motif containing 44,Disease-causing germline mutation(s) (gain of function) in,Assessed
250923,Isolated aniridia,FOXC1,forkhead box C1,Disease-causing germline mutation(s) in,Assessed
250972,Polymicrogyria with optic nerve hypoplasia,TUBA8,tubulin alpha 8,Disease-causing germline mutation(s) in,Assessed
2255,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome,GATA6,GATA binding protein 6,Disease-causing germline mutation(s) (loss of function) in,Assessed
251380,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,HBB,hemoglobin subunit beta,Disease-causing germline mutation(s) in,Assessed
251380,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,HBG1,hemoglobin subunit gamma 1,Disease-causing germline mutation(s) in,Assessed
251380,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,HBG2,hemoglobin subunit gamma 2,Disease-causing germline mutation(s) in,Assessed
251380,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,KLF1,KLF transcription factor 1,Disease-causing germline mutation(s) in,Assessed
251383,CK syndrome,NSDHL,NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL,Disease-causing germline mutation(s) (loss of function) in,Assessed
